layer,sparse_fusion_alpha,dense_temperature,modulation_gate
1,0.12206043303012848,3.238816261291504,0.11738824844360352
2,0.12074592709541321,3.182347059249878,0.13204325735569
3,0.12018772214651108,3.107954978942871,0.1419975906610489
