split,item_id,item_idx,phase,base_graph_mean,fused_graph_mean,fused_graph_std,fused_density_gt_1e_6,fused_diag_mean,sparse_branch_density_gt_1e_6,sparse_branch_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,7,6,Warm B,-0.1010119616985321,0.4930226504802704,0.19462719559669495,1.0,1.0,0.4691358024691358,2.384185791015625e-07,0.2829454243183136,0.6125412583351135,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,7,6,Warm C,-0.09362059831619263,0.4935660660266876,0.19198867678642273,1.0,1.0,0.4691358024691358,1.1920928955078125e-07,0.4292201101779938,0.6229135990142822,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,11,10,Cold,-0.095201276242733,0.4941326081752777,0.19581395387649536,1.0,1.0,0.43209876543209874,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,11,10,Warm A,-0.08932758867740631,0.4963032305240631,0.19637422263622284,1.0,1.0,0.38271604938271603,2.384185791015625e-07,0.2475132793188095,0.4696696698665619,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,11,10,Warm B,-0.09080859273672104,0.4963730573654175,0.19595248997211456,1.0,1.0,0.345679012345679,1.7881393432617188e-07,0.3218635320663452,0.5604797601699829,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,11,10,Warm C,-0.09848929941654205,0.4940301477909088,0.19738881289958954,1.0,1.0,0.38271604938271603,1.1920928955078125e-07,0.28100934624671936,0.5883540511131287,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,17,16,Cold,-0.11257119476795197,0.49008363485336304,0.19899152219295502,1.0,1.0,0.41975308641975306,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,17,16,Warm A,-0.1044958159327507,0.49305108189582825,0.20119783282279968,1.0,1.0,0.32098765432098764,2.384185791015625e-07,0.24886122345924377,0.36047324538230896,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,17,16,Warm B,-0.08413835614919662,0.497787743806839,0.20207521319389343,1.0,1.0,0.30864197530864196,5.960464477539063e-08,0.48603394627571106,0.26684752106666565,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,17,16,Warm C,-0.07540006190538406,0.49956607818603516,0.1994517743587494,1.0,1.0,0.32098765432098764,1.1920928955078125e-07,0.5479733347892761,0.2765846848487854,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,41,36,Cold,-0.05933167785406113,0.5030928254127502,0.19137345254421234,1.0,1.0,0.43209876543209874,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,41,36,Warm A,-0.0938924178481102,0.49520280957221985,0.19698995351791382,1.0,1.0,0.4074074074074074,1.1920928955078125e-07,0.25629723072052,0.8183751106262207,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,41,36,Warm B,-0.10339727252721786,0.4932366907596588,0.1987091600894928,1.0,1.0,0.345679012345679,1.1920928955078125e-07,0.4164930582046509,0.4119940400123596,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,41,36,Warm C,-0.1309957057237625,0.48629307746887207,0.20181889832019806,1.0,1.0,0.35802469135802467,1.1920928955078125e-07,0.6006271243095398,0.6384106874465942,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,104,76,Cold,-0.08567169308662415,0.49602311849594116,0.19340141117572784,1.0,1.0,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,104,76,Warm A,-0.10420020669698715,0.4906879961490631,0.19591155648231506,1.0,1.0,0.4074074074074074,1.7881393432617188e-07,0.24136298894882202,0.6471765637397766,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,104,76,Warm B,-0.08330566436052322,0.495275616645813,0.19205479323863983,1.0,1.0,0.4567901234567901,1.7881393432617188e-07,0.28347086906433105,0.5475524067878723,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,104,76,Warm C,-0.057684317231178284,0.5014432668685913,0.18909130990505219,1.0,1.0,0.4444444444444444,1.7881393432617188e-07,0.3535410761833191,0.5322572588920593,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,107,78,Cold,-0.0984828993678093,0.4923003315925598,0.19448180496692657,1.0,1.0,0.41975308641975306,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
