config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,sparsemax_scale,fusion_logit_init,modulation_gate_init,power_prior_bias,id_dropout,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G3_D32,0.7897985171114078,0.7557600004449995,2.2881805429933593,32,96,3,0.001,0.01,1e-06,5.0,-2.0,0.1,4.0,0.3,4,262144,4096,3
cfg01_G2_D16,0.7874282933579393,0.7515678049661658,1.8793430529767647,16,64,2,0.001,0.01,1e-06,5.0,-2.0,0.1,4.0,0.3,4,262144,4096,3
