variant,mean_validation_f1,mean_validation_auc,mean_evaluation_f1,mean_evaluation_auc
full_dgd,0.7866544501213316,0.7439616570700626,0.6553511726545647,0.7698945569214947
exact_sparsemax,0.7865717992743118,0.7436877301225789,0.6551906053068797,0.7697337706750462
emerg_exact_topk,0.786506403401826,0.7432899535613102,0.6549181679356826,0.769668680539286
mix_topk,0.7864613496739561,0.7435681792096928,0.6548741746937943,0.7697915045915947
