split,item_id,item_idx,phase,graph_sample_count,graph_mean,graph_std_within,graph_between_sample_std,graph_density_gt_0_5,graph_diag_mean,guidance_loss_mean,guidance_loss_last,sampling_seconds
validation,11,10,Warm C,4,0.556329071521759,0.18088656663894653,0.009507805109024048,0.5,1.0,0.5979776382446289,0.5979448556900024,0.014098915038630366
validation,17,16,Cold,4,0.5556783080101013,0.1792851835489273,0.009790361858904362,0.4876543209876543,1.0,0.0,0.0,0.001782058971002698
validation,17,16,Warm A,4,0.5568557381629944,0.17868314683437347,0.010279051028192043,0.5,1.0,0.5344387193520864,0.5341652631759644,0.014005580043885857
validation,17,16,Warm B,4,0.5593626499176025,0.17845502495765686,0.009981048293411732,0.5,1.0,0.4976805845896403,0.49749869108200073,0.014032022969331592
validation,17,16,Warm C,4,0.5583859086036682,0.1772834211587906,0.008489442989230156,0.5,1.0,0.4849705547094345,0.48471200466156006,0.01399708300596103
validation,41,36,Cold,4,0.5581996440887451,0.18044732511043549,0.0077881356701254845,0.4876543209876543,1.0,0.0,0.0,0.0017862709937617183
validation,41,36,Warm A,4,0.5567460060119629,0.1791420429944992,0.008800526149570942,0.5,1.0,0.7199915945529938,0.7196557521820068,0.013921092031523585
validation,41,36,Warm B,4,0.5591754913330078,0.18098652362823486,0.00801165122538805,0.5061728395061729,1.0,0.6865101555983225,0.6861968636512756,0.013954588037449867
validation,41,36,Warm C,4,0.553397536277771,0.17837584018707275,0.00751503324136138,0.4876543209876543,1.0,0.7102630039056143,0.7101596593856812,0.013970354048069566
validation,104,76,Cold,4,0.5573951601982117,0.17985326051712036,0.011609724722802639,0.5061728395061729,1.0,0.0,0.0,0.0017689220258034766
validation,104,76,Warm A,4,0.5595709681510925,0.17879343032836914,0.007213293574750423,0.5123456790123457,1.0,0.6689416368802389,0.6688024997711182,0.013944046979304403
validation,104,76,Warm B,4,0.5609431266784668,0.1775522083044052,0.010931405238807201,0.5185185185185185,1.0,0.6068147818247477,0.6067524552345276,0.014013683015946299
validation,104,76,Warm C,4,0.5610267519950867,0.17750345170497894,0.01245295163244009,0.5123456790123457,1.0,0.5888007283210754,0.5887407064437866,0.013983679004013538
validation,107,78,Cold,4,0.5571756362915039,0.18011929094791412,0.011358300223946571,0.48148148148148145,1.0,0.0,0.0,0.001777689962182194
