split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,Cold,57569,23501,0.3296051621437073,0.5248310722784832,0.46028769268815434,0.9503850899961703,0.620201318986463,0.7303737058156407,0.8428841911445396,0.5700758332484487,0.2190976354813017,22335,26189,1166,7879
evaluation,Warm A,57569,23501,0.33181196451187134,0.526029634004412,0.4609011838109208,0.9492787540955704,0.6205218068535826,0.7304632544396161,0.840782365509215,0.5700063108904474,0.2189633960644449,22309,26094,1192,7974
evaluation,Warm B,57569,23501,0.3308172821998596,0.5252305928537928,0.4604782635607733,0.9496617165227011,0.620220097821254,0.7304948388602391,0.8418940749361635,0.5699868397183955,0.2189066785017931,22318,26149,1183,7919
evaluation,Warm C,57569,23501,0.3264811038970947,0.5231461376782643,0.4594244870293918,0.9517892855623165,0.6197151881199091,0.7304767687621525,0.8457155760912991,0.569989861078437,0.21890625487235296,22368,26319,1133,7749
