split_emerg,phase,rows_emerg,positives_emerg,threshold_emerg,accuracy_emerg,precision_emerg,recall_emerg,f1_emerg,roc_auc_emerg,predicted_positive_rate_emerg,score_mean_emerg,score_std_emerg,tp_emerg,fp_emerg,fn_emerg,tn_emerg,config_name,split_emerg_gd,rows_emerg_gd,positives_emerg_gd,threshold_emerg_gd,accuracy_emerg_gd,precision_emerg_gd,recall_emerg_gd,f1_emerg_gd,roc_auc_emerg_gd,predicted_positive_rate_emerg_gd,score_mean_emerg_gd,score_std_emerg_gd,tp_emerg_gd,fp_emerg_gd,fn_emerg_gd,tn_emerg_gd,f1_delta,roc_auc_delta,accuracy_delta,precision_delta,recall_delta
evaluation,Cold,57569,23501,0.2546197772026062,0.4883531067067345,0.4425511385565419,0.9758308157099698,0.6089404017471887,0.7312375570497384,0.9001372266323889,0.5699608110197298,0.2181382961410851,22933,28887,568,5181,cfg02_G2_D32,evaluation,57569,23501,0.3296051621437073,0.5248310722784832,0.46028769268815434,0.9503850899961703,0.620201318986463,0.7303737058156407,0.8428841911445396,0.5700758332484487,0.2190976354813017,22335,26189,1166,7879,0.01126091723927436,-0.0008638512340977123,0.03647796557174876,0.01773655413161246,-0.02544572571379944
evaluation,Warm A,57569,23501,0.3545796275138855,0.6642637530615435,0.557557032909437,0.8600485085741032,0.6765296559110993,0.7895807334811875,0.6296965380673626,0.4690431989842081,0.2543553513543248,20212,16039,3289,18029,cfg02_G2_D32,evaluation,57569,23501,0.33181196451187134,0.526029634004412,0.4609011838109208,0.9492787540955704,0.6205218068535826,0.7304632544396161,0.840782365509215,0.5700063108904474,0.2189633960644449,22309,26094,1192,7974,-0.05600784905751666,-0.059117479041571386,-0.13823411905713145,-0.09665584909851621,0.08923024552146719
evaluation,Warm B,57569,23501,0.3715315163135528,0.710486546578888,0.6138848153579523,0.7837538828134973,0.6884964022054013,0.8004244316629097,0.5211832757213083,0.4205580460172137,0.2772876615408952,18419,11585,5082,22483,cfg02_G2_D32,evaluation,57569,23501,0.3308172821998596,0.5252305928537928,0.4604782635607733,0.9496617165227011,0.620220097821254,0.7304948388602391,0.8418940749361635,0.5699868397183955,0.2189066785017931,22318,26149,1183,7919,-0.06827630438414733,-0.06992959280267053,-0.18525595372509518,-0.15340655179717894,0.1659078337092038
evaluation,Warm C,57569,23501,0.3626468181610107,0.7139606385381021,0.6156755690040784,0.7965192970511893,0.6945181337538262,0.8046410264446215,0.5281314596397366,0.4127116468257661,0.2825444650832374,18719,11685,4782,22383,cfg02_G2_D32,evaluation,57569,23501,0.3264811038970947,0.5231461376782643,0.4594244870293918,0.9517892855623165,0.6197151881199091,0.7304767687621525,0.8457155760912991,0.569989861078437,0.21890625487235296,22368,26319,1133,7749,-0.0748029456339171,-0.07416425768246904,-0.19081450085983775,-0.15625108197468657,0.15526998851112717
