config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G2_D32,0.789595009590964,0.7558632878853417,0.9830324449576437,32,96,2,0.001,0.01,1e-06,4,262144,4096,3
cfg01_G2_D16,0.7895246928971824,0.7537664631942466,1.023356164980214,16,64,2,0.001,0.01,1e-06,4,262144,4096,3
