config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G2_D32,0.7899600984422103,0.7559925593334317,0.9750220470014028,32,96,2,0.001,0.01,1e-06,4,262144,4096,3
cfg01_G2_D16,0.7896607481190947,0.7538895761895326,1.010208928026259,16,64,2,0.001,0.01,1e-06,4,262144,4096,3
