split,item_id,item_idx,phase,graph_sample_count,graph_mean,graph_std_within,graph_between_sample_std,graph_density_gt_0_5,graph_diag_mean,guidance_loss_mean,guidance_loss_last,sampling_seconds
validation,1,0,Cold,4,0.5635679960250854,0.17835204303264618,0.008647349663078785,0.5864197530864198,1.0,0.0,0.0,0.002081155020277947
validation,1,0,Warm A,4,0.5655854344367981,0.17683818936347961,0.0069318716414272785,0.5864197530864198,1.0,0.5126851797103882,0.5124258399009705,0.015412094013299793
validation,1,0,Warm B,4,0.5668331980705261,0.17853674292564392,0.007779072038829327,0.5802469135802469,1.0,0.5271237889925638,0.5270094871520996,0.015106100996490568
validation,1,0,Warm C,4,0.5664435625076294,0.1780480593442917,0.00831908080726862,0.5925925925925926,1.0,0.4897626042366028,0.48953738808631897,0.015076675044838339
validation,5,4,Cold,4,0.5662305951118469,0.1791759878396988,0.010769764892756939,0.5617283950617284,1.0,0.0,0.0,0.0017513890052214265
validation,5,4,Warm A,4,0.5678447484970093,0.17737889289855957,0.006731987930834293,0.5802469135802469,1.0,0.5419129331906637,0.5417643785476685,0.014985754969529808
validation,5,4,Warm B,4,0.5633372664451599,0.18006348609924316,0.010301651433110237,0.5370370370370371,1.0,0.6517778237660726,0.6516308784484863,0.014530254004057497
validation,5,4,Warm C,4,0.5645638108253479,0.17706945538520813,0.007750058081001043,0.5679012345679012,1.0,0.6478524208068848,0.6476294994354248,0.015057595039252192
validation,7,6,Cold,4,0.5641915798187256,0.17756056785583496,0.00823010504245758,0.5802469135802469,1.0,0.0,0.0,0.0017479020170867443
validation,7,6,Warm A,4,0.5672750473022461,0.17931663990020752,0.007118899840861559,0.5679012345679012,1.0,0.6925282875696818,0.6924318671226501,0.014607855002395809
validation,7,6,Warm B,4,0.5600351691246033,0.17630887031555176,0.008749032393097878,0.5679012345679012,1.0,0.695395827293396,0.6953364610671997,0.014628598000854254
validation,7,6,Warm C,4,0.5663778781890869,0.17786841094493866,0.00746874138712883,0.5864197530864198,1.0,0.6850551664829254,0.6849024891853333,0.01463915198110044
validation,11,10,Cold,4,0.5670933723449707,0.17961396276950836,0.01031460240483284,0.5740740740740741,1.0,0.0,0.0,0.0017594050150364637
validation,11,10,Warm A,4,0.5680720806121826,0.17772142589092255,0.006962824612855911,0.5802469135802469,1.0,0.5267199774583181,0.5264911651611328,0.014554624969605356
validation,11,10,Warm B,4,0.5660067796707153,0.17878217995166779,0.00943281315267086,0.5679012345679012,1.0,0.6053156356016794,0.6052793860435486,0.014348935976158828
validation,11,10,Warm C,4,0.5666521787643433,0.17857001721858978,0.011267677880823612,0.5802469135802469,1.0,0.6185008188088735,0.6184113621711731,0.014672878955025226
validation,17,16,Cold,4,0.5650257468223572,0.17724072933197021,0.009346308186650276,0.5802469135802469,1.0,0.0,0.0,0.001743572996929288
validation,17,16,Warm A,4,0.5662087798118591,0.17694811522960663,0.008840586990118027,0.5740740740740741,1.0,0.555151641368866,0.5549941658973694,0.014570009021554142
validation,17,16,Warm B,4,0.5657578706741333,0.17773787677288055,0.007615055423229933,0.5987654320987654,1.0,0.49599238733450574,0.4958285093307495,0.014671306998934597
validation,17,16,Warm C,4,0.5677428245544434,0.17917868494987488,0.009543188847601414,0.5740740740740741,1.0,0.4640417198340098,0.46371594071388245,0.014601753966417164
validation,41,36,Cold,4,0.5622670650482178,0.1790490597486496,0.011092279106378555,0.5679012345679012,1.0,0.0,0.0,0.0017544619622640312
validation,41,36,Warm A,4,0.5655196309089661,0.17857317626476288,0.0077893235720694065,0.5864197530864198,1.0,0.8144481480121613,0.8139382004737854,0.014269131002947688
validation,41,36,Warm B,4,0.5678211450576782,0.17990362644195557,0.009567215107381344,0.5802469135802469,1.0,0.7461962203184763,0.7456768751144409,0.014776811993215233
