variant,mean_validation_f1,mean_validation_auc,mean_evaluation_f1,mean_evaluation_auc
full_dgd,0.7868816512335838,0.7449874080080354,0.6561284443882034,0.7686944023331326
exact_sparsemax,0.7868342194615204,0.7448670187099575,0.6557624737612409,0.7684162892536051
mix_topk,0.786679093087677,0.7447770131427496,0.6560943508328051,0.7681643161462776
emerg_exact_topk,0.7866760249049045,0.7446632376419502,0.6558548669108992,0.7682145347505616
