run_name,epoch,loss,noise_loss,reconstruction_loss,examples
gd_v2_tuning_diffusion,1,1.3655214276112302,1.3301557453585342,0.35365641914622886,1136
gd_v2_tuning_diffusion,2,1.0923615358245204,1.0650881377744004,0.27273385541539796,1136
gd_v2_tuning_diffusion,3,1.0348225042853556,1.0097694967834043,0.2505298202306452,1136
gd_v2_tuning_diffusion,4,0.9982334442541633,0.9737483657581706,0.24485094194680873,1136
gd_v2_tuning_diffusion,5,0.9842864199423454,0.9596950915497793,0.24591339033254436,1136
gd_v2_tuning_diffusion,6,0.9405178360536065,0.9170537297154816,0.2346411385166813,1136
gd_v2_tuning_diffusion,7,0.9338008089804314,0.9114605952316607,0.22340216246289266,1136
gd_v2_tuning_diffusion,8,0.9029976960638879,0.8816515543091465,0.2134615608923872,1136
gd_v2_tuning_diffusion,9,0.8525283336639404,0.8305580758712661,0.21970263501288187,1136
gd_v2_tuning_diffusion,10,0.8281475691728188,0.8091583293928227,0.18989248846618223,1136
gd_v2_tuning_diffusion,11,0.7916220804335365,0.7745765313296251,0.17045558947072903,1136
gd_v2_tuning_diffusion,12,0.7644044244793099,0.748706815108447,0.15697610504190687,1136
gd_v2_tuning_diffusion,13,0.7371866400812713,0.7224428796432387,0.1474377028119396,1136
gd_v2_tuning_diffusion,14,0.6908182392657642,0.675820207092124,0.1499803104031254,1136
gd_v2_tuning_diffusion,15,0.671824465335255,0.6586326251567249,0.13191847146396907,1136
gd_v2_tuning_diffusion,16,0.6602404705235656,0.6473625663300635,0.12877911675564,1136
gd_v2_tuning_diffusion,17,0.6455003417713542,0.6331670519331811,0.12333290730143937,1136
gd_v2_tuning_diffusion,18,0.6209495646852843,0.6095150658782099,0.1143449915336891,1136
gd_v2_tuning_diffusion,19,0.6054510935931139,0.5939381408019805,0.11512948047946876,1136
gd_v2_tuning_diffusion,20,0.5865049756748576,0.5749966611324901,0.11508297510969807,1136
gd_v2_tuning_diffusion,21,0.5950448429080802,0.5843799340892846,0.10664910970019623,1136
gd_v2_tuning_diffusion,22,0.5802488091965796,0.5699503329438222,0.10298479726197014,1136
gd_v2_tuning_diffusion,23,0.5731858896537566,0.5625083715143339,0.10677524750501337,1136
gd_v2_tuning_diffusion,24,0.5622229022039494,0.5516969536391783,0.10525950705501395,1136
gd_v2_tuning_diffusion,25,0.5533419620822853,0.5434668618188777,0.09875099948594268,1136
gd_v2_tuning_diffusion,26,0.5478555022830695,0.5380833593892379,0.09772136051889876,1136
gd_v2_tuning_diffusion,27,0.5578136376931634,0.5477437385371033,0.1006991478129172,1136
gd_v2_tuning_diffusion,28,0.5403508241747467,0.5299884374712555,0.10362393933702523,1136
gd_v2_tuning_diffusion,29,0.5609126359644071,0.5515804391511729,0.09332197883599241,1136
gd_v2_tuning_diffusion,30,0.5465698435272969,0.5368843565524464,0.09685490070514276,1136
gd_v2_tuning_diffusion,31,0.5523604700263117,0.5426839346617041,0.09676551178727351,1136
gd_v2_tuning_diffusion,32,0.5312645489900885,0.5215911701531477,0.0967336679008645,1136
gd_v2_final_diffusion,1,1.2856439926254917,1.2527621269226075,0.32881872897416775,1420
gd_v2_final_diffusion,2,1.0562350276490333,1.0288630430127534,0.2737198409899859,1420
gd_v2_final_diffusion,3,0.9860518420246286,0.9617986506139728,0.24253200599005525,1420
gd_v2_final_diffusion,4,0.9702423171258309,0.9456559824271941,0.2458633304481775,1420
gd_v2_final_diffusion,5,0.9495839254956849,0.9245750823491056,0.2500885164234,1420
gd_v2_final_diffusion,6,0.9136863357584242,0.8904887501622589,0.23197575857941533,1420
gd_v2_final_diffusion,7,0.8904089951179397,0.8686888122222793,0.21720197872376779,1420
gd_v2_final_diffusion,8,0.8364772249275529,0.8177575744373697,0.1871964560847887,1420
gd_v2_final_diffusion,9,0.7979474851782893,0.7808800653672554,0.17067424982366428,1420
