split,item_id,item_idx,phase,graph_sample_count,graph_mean,graph_std_within,graph_between_sample_std,graph_density_gt_0_5,graph_diag_mean,guidance_loss_mean,guidance_loss_last,sampling_seconds
validation,1,0,Cold,4,0.5591173768043518,0.1751420497894287,0.007042486220598221,0.5370370370370371,1.0,0.0,0.0,0.001962163019925356
validation,1,0,Warm A,4,0.5563603043556213,0.1773330271244049,0.009765757247805595,0.5123456790123457,1.0,0.47954224546750385,0.4793550670146942,0.01429361302871257
validation,1,0,Warm B,4,0.55728679895401,0.17612262070178986,0.0076575251296162605,0.5308641975308642,1.0,0.5173848966757456,0.517237663269043,0.013999591988977045
validation,1,0,Warm C,4,0.5581079125404358,0.17589862644672394,0.00793813169002533,0.5679012345679012,1.0,0.5150249699751536,0.5148695111274719,0.014022356015630066
validation,5,4,Cold,4,0.5574662089347839,0.1792411208152771,0.008686579763889313,0.5370370370370371,1.0,0.0,0.0,0.0017627159832045436
validation,5,4,Warm A,4,0.5554987788200378,0.17552097141742706,0.007816358469426632,0.5,1.0,0.5785019397735596,0.5783597230911255,0.013951511005870998
validation,5,4,Warm B,4,0.5537335276603699,0.17577587068080902,0.00794186256825924,0.5123456790123457,1.0,0.6269341508547465,0.6267971396446228,0.014036551001481712
validation,5,4,Warm C,4,0.5565117001533508,0.1752433478832245,0.008811662904918194,0.5185185185185185,1.0,0.608620415131251,0.6084990501403809,0.014000856026541442
validation,7,6,Cold,4,0.5571789741516113,0.1778438538312912,0.009707280434668064,0.49382716049382713,1.0,0.0,0.0,0.0017592390067875385
validation,7,6,Warm A,4,0.5526366829872131,0.17481596767902374,0.00655916053801775,0.5123456790123457,1.0,0.7784570157527924,0.7783563733100891,0.013995658024214208
validation,7,6,Warm B,4,0.554728090763092,0.17587760090827942,0.010197728872299194,0.5308641975308642,1.0,0.685016393661499,0.684940755367279,0.013998854032251984
validation,7,6,Warm C,4,0.5559192895889282,0.17692826688289642,0.007713937666267157,0.5432098765432098,1.0,0.6816060741742452,0.6815057992935181,0.014028398029040545
validation,11,10,Cold,4,0.5585460066795349,0.17516884207725525,0.00887430552393198,0.5493827160493827,1.0,0.0,0.0,0.0017959930119104683
validation,11,10,Warm A,4,0.5572506189346313,0.17684102058410645,0.008350235410034657,0.5432098765432098,1.0,0.5224381883939108,0.5222949981689453,0.013956921000499278
validation,11,10,Warm B,4,0.5572563409805298,0.17493285238742828,0.009089748375117779,0.5370370370370371,1.0,0.6087166766325632,0.6086652278900146,0.014027372002601624
