run_name,epoch,loss,bpr_loss,regularizer,sample_size,config_name
cfg01_L2_D64,1,0.6930673122406006,0.6929717063903809,0.9560568928718567,65536,cfg01_L2_D64
cfg01_L2_D64,2,0.6929563283920288,0.6928606629371643,0.9569001197814941,65536,cfg01_L2_D64
cfg01_L2_D64,3,0.6928707361221313,0.6927748918533325,0.9585031270980835,65536,cfg01_L2_D64
cfg01_L2_D64,4,0.6927521824836731,0.6926560997962952,0.9606143832206726,65536,cfg01_L2_D64
cfg01_L2_D64,5,0.6927025318145752,0.6926062107086182,0.9634764194488525,65536,cfg01_L2_D64
cfg01_L2_D64,6,0.6925628781318665,0.6924661993980408,0.966589093208313,65536,cfg01_L2_D64
cfg01_L2_D64,7,0.692333996295929,0.692237138748169,0.9686711430549622,65536,cfg01_L2_D64
cfg01_L2_D64,8,0.6920831799507141,0.6919859051704407,0.9726076722145081,65536,cfg01_L2_D64
cfg01_L2_D64,9,0.6917718052864075,0.6916741132736206,0.976818859577179,65536,cfg01_L2_D64
cfg01_L2_D64,10,0.6913471221923828,0.6912490129470825,0.9813050031661987,65536,cfg01_L2_D64
cfg01_L2_D64,11,0.6909558176994324,0.6908572316169739,0.9860994815826416,65536,cfg01_L2_D64
cfg01_L2_D64,12,0.6903873682022095,0.6902880668640137,0.9927225708961487,65536,cfg01_L2_D64
cfg02_L3_D64,1,0.6931027770042419,0.6930065155029297,0.9625311493873596,65536,cfg02_L3_D64
cfg02_L3_D64,2,0.6930321455001831,0.6929358839988708,0.9628757238388062,65536,cfg02_L3_D64
cfg02_L3_D64,3,0.6929753422737122,0.6928788423538208,0.9648122787475586,65536,cfg02_L3_D64
cfg02_L3_D64,4,0.692844033241272,0.6927473545074463,0.9670193195343018,65536,cfg02_L3_D64
cfg02_L3_D64,5,0.6927242279052734,0.6926273107528687,0.9690015316009521,65536,cfg02_L3_D64
cfg02_L3_D64,6,0.6925109028816223,0.6924137473106384,0.971839189529419,65536,cfg02_L3_D64
cfg02_L3_D64,7,0.6921824812889099,0.6920849680900574,0.9751948118209839,65536,cfg02_L3_D64
cfg02_L3_D64,8,0.691780149936676,0.6916822195053101,0.9791878461837769,65536,cfg02_L3_D64
cfg02_L3_D64,9,0.6912600994110107,0.6911616921424866,0.9843016266822815,65536,cfg02_L3_D64
cfg02_L3_D64,10,0.6906343698501587,0.690535306930542,0.990548312664032,65536,cfg02_L3_D64
cfg02_L3_D64,11,0.6899930238723755,0.6898933053016663,0.9970002174377441,65536,cfg02_L3_D64
cfg02_L3_D64,12,0.68907231092453,0.688971757888794,1.0052604675292969,65536,cfg02_L3_D64
final_refit_cfg01_L2_D64,1,0.693000078201294,0.6929033994674683,0.9668340682983398,65536,cfg01_L2_D64
final_refit_cfg01_L2_D64,2,0.6929974555969238,0.6929006576538086,0.9682336449623108,65536,cfg01_L2_D64
final_refit_cfg01_L2_D64,3,0.6929334998130798,0.6928365230560303,0.9698696136474609,65536,cfg01_L2_D64
final_refit_cfg01_L2_D64,4,0.6928262114524841,0.6927290558815002,0.9716458916664124,65536,cfg01_L2_D64
final_refit_cfg01_L2_D64,5,0.6927488446235657,0.6926513910293579,0.9746596217155457,65536,cfg01_L2_D64
final_refit_cfg01_L2_D64,6,0.6926525831222534,0.6925549507141113,0.9764940738677979,65536,cfg01_L2_D64
final_refit_cfg01_L2_D64,7,0.6924625039100647,0.6923645734786987,0.9794299006462097,65536,cfg01_L2_D64
final_refit_cfg01_L2_D64,8,0.6923031806945801,0.6922049522399902,0.9825061559677124,65536,cfg01_L2_D64
final_refit_cfg01_L2_D64,9,0.6920986175537109,0.6919999718666077,0.9866611957550049,65536,cfg01_L2_D64
final_refit_cfg01_L2_D64,10,0.6917497515678406,0.6916507482528687,0.989793598651886,65536,cfg01_L2_D64
final_refit_cfg01_L2_D64,11,0.6914113163948059,0.6913118362426758,0.9947555661201477,65536,cfg01_L2_D64
final_refit_cfg01_L2_D64,12,0.6909728646278381,0.6908729076385498,0.9996445178985596,65536,cfg01_L2_D64
