config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,n_layers,learning_rate,weight_decay,epochs,sample_size
cfg01_L2_D64,0.7593771922404978,0.4990132484680313,2.5045138430432416,64,2,0.003,0.0001,12,65536
cfg02_L3_D64,0.7593761166838144,0.5028388961793215,2.6856846180162393,64,3,0.003,0.0001,12,65536
