phase,base_train_edges,support_edges,graph_edges,query_rows,query_users,query_items,threshold,final_training_seconds,device
Cold,854530,0,854530,57569,3881,955,-0.03507783263921738,3.568496485007927,cuda
Warm A,854530,19100,873630,57569,3881,955,-0.04052507132291794,3.568496485007927,cuda
Warm B,854530,38200,892730,57569,3881,955,-0.03219231963157654,3.568496485007927,cuda
Warm C,854530,57300,911830,57569,3881,955,-0.032041165977716446,3.568496485007927,cuda
