split,item_id,item_idx,phase,graph_sample_count,graph_mean,graph_std_within,graph_between_sample_std,graph_density_gt_0_5,graph_diag_mean,guidance_loss_mean,guidance_loss_last,sampling_seconds
validation,1,0,Cold,4,0.5607267618179321,0.17444753646850586,0.009487668983638287,0.6049382716049383,1.0,0.0,0.0,0.0019349210197106004
validation,1,0,Warm A,4,0.5609394311904907,0.1732882708311081,0.011412858963012695,0.5802469135802469,1.0,0.4662400037050247,0.4660235643386841,0.015527606010437012
validation,1,0,Warm B,4,0.560785174369812,0.1725182831287384,0.00881454348564148,0.5802469135802469,1.0,0.4810593326886495,0.48098570108413696,0.014911813021171838
validation,1,0,Warm C,4,0.5640557408332825,0.17331035435199738,0.008397044613957405,0.6111111111111112,1.0,0.4893409460783005,0.4892927408218384,0.015023823012597859
validation,5,4,Cold,4,0.560939371585846,0.17255821824073792,0.00818738341331482,0.6049382716049383,1.0,0.0,0.0,0.0017924970015883446
validation,5,4,Warm A,4,0.5600535273551941,0.17468476295471191,0.008852985687553883,0.5864197530864198,1.0,0.5891265769799551,0.5890146493911743,0.01509431703016162
validation,5,4,Warm B,4,0.5610483288764954,0.1731463521718979,0.0068572950549423695,0.5925925925925926,1.0,0.6548346082369486,0.6546705365180969,0.014809528016485274
validation,5,4,Warm C,4,0.5612772703170776,0.17304542660713196,0.009954328648746014,0.5802469135802469,1.0,0.6452467342217764,0.6451270580291748,0.01500164601020515
validation,7,6,Cold,4,0.5618133544921875,0.1712648570537567,0.00659549655392766,0.6049382716049383,1.0,0.0,0.0,0.0017638909630477428
validation,7,6,Warm A,4,0.5630786418914795,0.1718006283044815,0.00962836667895317,0.5987654320987654,1.0,0.7906698683897654,0.790446937084198,0.015009704045951366
validation,7,6,Warm B,4,0.5576345324516296,0.17326028645038605,0.009547611698508263,0.5802469135802469,1.0,0.7421186765034994,0.7419806122779846,0.014943202026188374
validation,7,6,Warm C,4,0.5634505748748779,0.17356538772583008,0.009303378872573376,0.5802469135802469,1.0,0.7293070554733276,0.7291086316108704,0.01502086699474603
validation,11,10,Cold,4,0.5611796379089355,0.17318673431873322,0.009935068897902966,0.6111111111111112,1.0,0.0,0.0,0.001773236959706992
validation,11,10,Warm A,4,0.5616756677627563,0.17341338098049164,0.0076778242364525795,0.5802469135802469,1.0,0.5007087290287018,0.5005760192871094,0.014906186028383672
validation,11,10,Warm B,4,0.5608970522880554,0.172627791762352,0.007004261016845703,0.6049382716049383,1.0,0.5906151334444681,0.5905922651290894,0.015050917980261147
validation,11,10,Warm C,4,0.5612538456916809,0.17134150862693787,0.005260673817247152,0.5925925925925926,1.0,0.5988651514053345,0.5988449454307556,0.014894781983457506
validation,17,16,Cold,4,0.5591241717338562,0.1736442744731903,0.010140926577150822,0.5740740740740741,1.0,0.0,0.0,0.0017591589712537825
validation,17,16,Warm A,4,0.5601758360862732,0.17397697269916534,0.009160288609564304,0.5864197530864198,1.0,0.5185743272304535,0.5183553099632263,0.014863769989460707
validation,17,16,Warm B,4,0.5594446659088135,0.17245016992092133,0.007934712804853916,0.5864197530864198,1.0,0.477263684074084,0.47712403535842896,0.015164245036430657
validation,17,16,Warm C,4,0.5630325675010681,0.17413058876991272,0.008695965632796288,0.5864197530864198,1.0,0.4446607530117035,0.4444800615310669,0.014789227047003806
validation,41,36,Cold,4,0.5646026730537415,0.171564981341362,0.007914891466498375,0.6049382716049383,1.0,0.0,0.0,0.0018114299746230245
validation,41,36,Warm A,4,0.5602066516876221,0.17033979296684265,0.0077538578771054745,0.5864197530864198,1.0,0.7683243453502655,0.7680498957633972,0.014755152980796993
validation,41,36,Warm B,4,0.5609729886054993,0.17194990813732147,0.010397229343652725,0.5802469135802469,1.0,0.7573735117912292,0.7569783926010132,0.014822460943832994
validation,41,36,Warm C,4,0.5569738745689392,0.17321543395519257,0.010430627502501011,0.5679012345679012,1.0,0.8321582774321238,0.8318274021148682,0.015074750001076609
