split_emerg,phase,rows_emerg,positives_emerg,threshold_emerg,accuracy_emerg,precision_emerg,recall_emerg,f1_emerg,roc_auc_emerg,predicted_positive_rate_emerg,score_mean_emerg,score_std_emerg,tp_emerg,fp_emerg,fn_emerg,tn_emerg,config_name,split_emerg_gd,rows_emerg_gd,positives_emerg_gd,threshold_emerg_gd,accuracy_emerg_gd,precision_emerg_gd,recall_emerg_gd,f1_emerg_gd,roc_auc_emerg_gd,predicted_positive_rate_emerg_gd,score_mean_emerg_gd,score_std_emerg_gd,tp_emerg_gd,fp_emerg_gd,fn_emerg_gd,tn_emerg_gd,f1_delta,roc_auc_delta,accuracy_delta,precision_delta,recall_delta
evaluation,Cold,57569,23501,0.2748320698738098,0.5006513922423527,0.4481948175067151,0.9656184843198162,0.6122239758272294,0.7356175527308506,0.8795011203946569,0.5627151979098705,0.2229711468402611,22693,27939,808,6129,cfg02_G2_D32,evaluation,57569,23501,0.2876807451248169,0.5077037989195574,0.4516193522590964,0.9612356920982086,0.6145183008936222,0.7350770041851484,0.8688703989994615,0.5635188852056783,0.22339387363501623,22590,27430,911,6638,0.0022943250663928216,-0.0005405485457021797,0.007052406677204748,0.003424534752381303,-0.004382792221607645
evaluation,Warm A,57569,23501,0.3514258563518524,0.6644721985790963,0.5570832310336361,0.8689417471596953,0.6789121978789189,0.7911675510104599,0.6367489447445673,0.4754729227134392,0.2606529147720367,20421,16236,3080,17832,cfg02_G2_D32,evaluation,57569,23501,0.29028838872909546,0.5090239538640587,0.45226644222676443,0.9603421131015701,0.6149339945233846,0.7351624572949281,0.8668206847435251,0.5634051176532308,0.22324573818825819,22569,27333,932,6735,-0.06397820335553428,-0.05600509371553175,-0.1554482447150376,-0.10481678880687167,0.09140036594187484
evaluation,Warm B,57569,23501,0.3425651490688324,0.6975455540308152,0.5916603944001204,0.8362197353304115,0.6929966852387334,0.8009963991349894,0.5769598221264917,0.4337403540976526,0.2824348561520403,19652,13563,3849,20505,cfg02_G2_D32,evaluation,57569,23501,0.28968119621276855,0.508589692369157,0.4520515028334568,0.960597421386324,0.6147875816993464,0.7352057281073083,0.8674633917559798,0.5634098504210442,0.2232744452131702,22575,27364,926,6704,-0.07820910353938693,-0.0657906710276811,-0.18895586166165823,-0.13960889156666362,0.12437768605591248
evaluation,Warm C,57569,23501,0.3725842535495758,0.7127273358925811,0.6136445242369838,0.7999234075145738,0.6945101226540563,0.8034456078019598,0.532144035852629,0.4193343185918101,0.2846227491919866,18799,11836,4702,22232,cfg02_G2_D32,evaluation,57569,23501,0.29228731989860535,0.5100835519116191,0.45278965648778335,0.9596612910088932,0.6152775883235576,0.7351912220683121,0.8652052319824906,0.5634031171851853,0.22319722092696356,22553,27256,948,6812,-0.0792325343304987,-0.06825438573364773,-0.20264378398096194,-0.16085486774920044,0.1597378834943194
