split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,Cold,57569,23501,0.31151819229125977,0.5296600601017909,0.4628228053395434,0.9471511850559551,0.6218031985473846,0.7366109078958352,0.8354148934322292,0.5493038519188377,0.22160110594800544,22259,25835,1242,8233
evaluation,Warm A,57569,23501,0.32733970880508423,0.6853167503343813,0.5779282799340106,0.8496659716607804,0.6879349548680493,0.7976991311319795,0.6001667564140423,0.4400021548642959,0.2801461293856195,19968,14583,3533,19485
evaluation,Warm B,57569,23501,0.32143089175224304,0.696746512880196,0.5905861190226352,0.8382196502276499,0.6929435767553116,0.8036209361526598,0.5793916864979416,0.42223750582775227,0.28312921598544644,19699,13656,3802,20412
evaluation,Warm C,57569,23501,0.35550054907798767,0.7123799266966596,0.6123208334681464,0.8052848814944045,0.6956697544478753,0.8071560200109297,0.5368688009171603,0.41757522531040164,0.28416612240258415,18925,11982,4576,22086
