split_emerg,phase,rows_emerg,positives_emerg,threshold_emerg,accuracy_emerg,precision_emerg,recall_emerg,f1_emerg,roc_auc_emerg,predicted_positive_rate_emerg,score_mean_emerg,score_std_emerg,tp_emerg,fp_emerg,fn_emerg,tn_emerg,config_name,split_emerg_gd_v2,rows_emerg_gd_v2,positives_emerg_gd_v2,threshold_emerg_gd_v2,accuracy_emerg_gd_v2,precision_emerg_gd_v2,recall_emerg_gd_v2,f1_emerg_gd_v2,roc_auc_emerg_gd_v2,predicted_positive_rate_emerg_gd_v2,score_mean_emerg_gd_v2,score_std_emerg_gd_v2,tp_emerg_gd_v2,fp_emerg_gd_v2,fn_emerg_gd_v2,tn_emerg_gd_v2,f1_delta,roc_auc_delta,accuracy_delta,precision_delta,recall_delta
evaluation,Cold,57569,23501,0.2915041446685791,0.5190640796261877,0.4574022062115846,0.956299731926301,0.6188201280374476,0.7366177000294722,0.8534801716201428,0.5492331651967283,0.2214273778401406,22474,26660,1027,7408,cfg02_G2_D32,evaluation,57569,23501,0.31151819229125977,0.5296600601017909,0.4628228053395434,0.9471511850559551,0.6218031985473846,0.7366109078958352,0.8354148934322292,0.5493038519188377,0.22160110594800544,22259,25835,1242,8233,0.002983070509937069,-6.79213363707909e-06,0.010595980475603173,0.005420599127958781,-0.009148546870345942
evaluation,Warm A,57569,23501,0.3523367941379547,0.6691795931838316,0.5615980094000553,0.8643461980341262,0.68083323557507,0.7940697611427675,0.628289530823881,0.4664844011492902,0.2597427780715018,20313,15857,3188,18211,cfg02_G2_D32,evaluation,57569,23501,0.32733970880508423,0.6853167503343813,0.5779282799340106,0.8496659716607804,0.6879349548680493,0.7976991311319795,0.6001667564140423,0.4400021548642959,0.2801461293856195,19968,14583,3533,19485,0.007101719292979314,0.003629369989212039,0.016137157150549752,0.016330270533955304,-0.014680226373345762
evaluation,Warm B,57569,23501,0.3693065941333771,0.7057791519741528,0.6046363317496253,0.8068592825837199,0.691261711202654,0.8009622211385118,0.5447549896645765,0.4305391035579926,0.2811963695508234,18962,12399,4539,21669,cfg02_G2_D32,evaluation,57569,23501,0.32143089175224304,0.696746512880196,0.5905861190226352,0.8382196502276499,0.6929435767553116,0.8036209361526598,0.5793916864979416,0.42223750582775227,0.28312921598544644,19699,13656,3802,20412,0.001681865552657591,0.0026587150141480498,-0.009032639093956796,-0.01405021272699003,0.03136036764393002
evaluation,Warm C,57569,23501,0.3543852269649505,0.707811495770293,0.6056962025316456,0.8144334283647504,0.6947242336799695,0.8034673499987762,0.5489065295558373,0.4194409047298804,0.284963001577949,19140,12460,4361,21608,cfg02_G2_D32,evaluation,57569,23501,0.35550054907798767,0.7123799266966596,0.6123208334681464,0.8052848814944045,0.6956697544478753,0.8071560200109297,0.5368688009171603,0.41757522531040164,0.28416612240258415,18925,11982,4576,22086,0.000945520767905772,0.00368867001215345,0.004568430926366607,0.006624630936500786,-0.009148546870345942
