run_name,epoch,loss,bpr_loss,regularizer,sample_size,config_name
cfg01_L2_D64,1,0.6930201053619385,0.6929241418838501,0.9597817659378052,65536,cfg01_L2_D64
cfg01_L2_D64,2,0.6929638981819153,0.6928677558898926,0.9612752199172974,65536,cfg01_L2_D64
cfg01_L2_D64,3,0.6928896903991699,0.6927933692932129,0.9630021452903748,65536,cfg01_L2_D64
cfg01_L2_D64,4,0.6926788687705994,0.6925823092460632,0.965488612651825,65536,cfg01_L2_D64
cfg01_L2_D64,5,0.6925874948501587,0.6924907565116882,0.967500627040863,65536,cfg01_L2_D64
cfg01_L2_D64,6,0.6923936605453491,0.6922966241836548,0.9705266952514648,65536,cfg01_L2_D64
cfg01_L2_D64,7,0.6922236680984497,0.6921262741088867,0.9736597537994385,65536,cfg01_L2_D64
cfg01_L2_D64,8,0.6919063329696655,0.6918085813522339,0.9773098230361938,65536,cfg01_L2_D64
cfg01_L2_D64,9,0.6915575861930847,0.6914594173431396,0.9819353818893433,65536,cfg01_L2_D64
cfg01_L2_D64,10,0.6911261677742004,0.6910274028778076,0.9876829385757446,65536,cfg01_L2_D64
cfg01_L2_D64,11,0.6906253099441528,0.690526008605957,0.9929960370063782,65536,cfg01_L2_D64
cfg01_L2_D64,12,0.6899769306182861,0.689876914024353,0.9999858140945435,65536,cfg01_L2_D64
cfg02_L3_D64,1,0.6930861473083496,0.6929901838302612,0.959773063659668,65536,cfg02_L3_D64
cfg02_L3_D64,2,0.6930067539215088,0.6929106712341309,0.960909903049469,65536,cfg02_L3_D64
cfg02_L3_D64,3,0.6929401755332947,0.6928439140319824,0.9626209735870361,65536,cfg02_L3_D64
cfg02_L3_D64,4,0.6928486824035645,0.6927521228790283,0.965315580368042,65536,cfg02_L3_D64
cfg02_L3_D64,5,0.692661464214325,0.6925647258758545,0.9675294160842896,65536,cfg02_L3_D64
cfg02_L3_D64,6,0.6924155354499817,0.6923184394836426,0.9708061218261719,65536,cfg02_L3_D64
cfg02_L3_D64,7,0.6920903325080872,0.6919928789138794,0.9747834801673889,65536,cfg02_L3_D64
cfg02_L3_D64,8,0.6917017102241516,0.6916037797927856,0.9793074727058411,65536,cfg02_L3_D64
cfg02_L3_D64,9,0.6911744475364685,0.6910759806632996,0.9845545291900635,65536,cfg02_L3_D64
cfg02_L3_D64,10,0.6905463933944702,0.6904473304748535,0.9908701777458191,65536,cfg02_L3_D64
cfg02_L3_D64,11,0.689782977104187,0.689683198928833,0.9977142810821533,65536,cfg02_L3_D64
cfg02_L3_D64,12,0.6888545751571655,0.6887539625167847,1.0058784484863281,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,1,0.6931080222129822,0.6930124759674072,0.9555497169494629,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,2,0.69305020570755,0.6929545402526855,0.9563702344894409,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,3,0.692945122718811,0.6928493976593018,0.9570335149765015,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,4,0.6928385496139526,0.6927425861358643,0.9599109292030334,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,5,0.6926448941230774,0.6925486326217651,0.9624989032745361,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,6,0.6923853754997253,0.6922888159751892,0.9657303690910339,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,7,0.6920706033706665,0.6919736862182617,0.9691163301467896,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,8,0.691638708114624,0.6915414333343506,0.9729220867156982,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,9,0.6910830140113831,0.6909852027893066,0.9782683849334717,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,10,0.690410852432251,0.6903123259544373,0.9850862622261047,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,11,0.689599335193634,0.689500093460083,0.9925967454910278,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,12,0.6885621547698975,0.6884621381759644,1.0002830028533936,65536,cfg02_L3_D64
