family,model_label,seed,bundle_id,schema_version,protocol_pointer_sha256,source_status,split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name,variant
dgd,DGD,7788,20260717T024836-s7788-02b73960b948,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3071304559707641,0.503413295349928,0.4495807481118798,0.9650653163695162,0.6134040136312003,0.7342331128060686,0.8762875853323837,0.5571932568141857,0.198396284145629,22680,27767,821,6301,cfg02_G3_D32,
dgd,DGD,7788,20260717T024836-s7788-02b73960b948,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3371610641479492,0.6426722715350275,0.5381470680137486,0.8794093868346028,0.6677005088441968,0.7852699637307058,0.6670951380083031,0.4765972756634617,0.23511604749355,20667,17737,2834,16331,cfg02_G3_D32,
dgd,DGD,7788,20260717T024836-s7788-02b73960b948,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3718926012516022,0.7071340478382463,0.6083537281775168,0.793285392110974,0.688619657961807,0.7986654326716276,0.5323177404505898,0.4326996181363757,0.2599287482196561,18643,12002,4858,22066,cfg02_G3_D32,
dgd,DGD,7788,20260717T024836-s7788-02b73960b948,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3596176505088806,0.7143775295732078,0.6165994845701447,0.7940938683460278,0.694180445254524,0.8041940976813334,0.5257343361878789,0.4176642910629723,0.2689991545204812,18662,11604,4839,22464,cfg02_G3_D32,
dgd,DGD,9999,20260717T024945-s9999-a305b145acdf,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3208650052547455,0.4901596345255259,0.4431906463642013,0.9709799582996468,0.6085959274026858,0.7295909111649522,0.8943702339800934,0.5862501998068618,0.1917932517525262,22819,28669,682,5399,cfg02_G3_D32,
dgd,DGD,9999,20260717T024945-s9999-a305b145acdf,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3717973530292511,0.6478660390140527,0.5432551908908239,0.8628143483256032,0.6667214677933778,0.7782720301930249,0.6483524118883427,0.4925901093904844,0.2327797120648905,20277,17048,3224,17020,cfg02_G3_D32,
dgd,DGD,9999,20260717T024945-s9999-a305b145acdf,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.372041642665863,0.7040421059945456,0.6043530209577938,0.7963490915280201,0.6871924799882501,0.7943555984320129,0.5379110285049246,0.4369073189318687,0.2606433491789398,18715,12252,4786,21816,cfg02_G3_D32,
dgd,DGD,9999,20260717T024945-s9999-a305b145acdf,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3554414212703705,0.7099306918654137,0.6111002221351104,0.7960086804816816,0.691405022822612,0.7993990530491717,0.5317445152773194,0.4188518635844993,0.2710246714520353,18707,11905,4794,22163,cfg02_G3_D32,
dgd_ablation,DGD-Ablation:selected,2025,20260717T092420073050-s2025-75f7b01c8e68,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3293842673301697,0.5120290434087791,0.4537076249823542,0.9573209650653164,0.615641418563923,0.7327968944156756,0.8613489899077629,0.5643426783873524,0.1934282626071174,22498,27089,1003,6979,,full_dgd
dgd_ablation,DGD-Ablation:selected,2025,20260717T092420073050-s2025-75f7b01c8e68,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.387720376253128,0.6147058312633535,0.5164334445495742,0.8825581890132335,0.6515872641879898,0.7661244677998583,0.6976324063297955,0.5190124295756873,0.2098788530174461,20741,19421,2760,14647,,full_dgd
dgd_ablation,DGD-Ablation:selected,2025,20260717T092420073050-s2025-75f7b01c8e68,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3754287660121918,0.6610675884590665,0.5551408586989577,0.8544317263095187,0.6730124681592706,0.7843642418279954,0.6283069012836769,0.4791776739351038,0.2260151163343406,20080,16091,3421,17977,,full_dgd
dgd_ablation,DGD-Ablation:selected,2025,20260717T092420073050-s2025-75f7b01c8e68,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3930592536926269,0.6995084159877712,0.5985758789497108,0.8012425003191354,0.6852380865736276,0.7955506392481896,0.5464399242647953,0.4535131780208234,0.2393545472159162,18830,12628,4671,21440,,full_dgd
dgd_ablation,DGD-Ablation:selected,3407,20260717T093052917408-s3407-4a9f13e76ffa,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3170745074748993,0.5079643558164985,0.4516871933513567,0.959746393770478,0.6142763767089711,0.7286018882021598,0.8673939099167955,0.555842976144291,0.1930812053270422,22555,27380,946,6688,,full_dgd
dgd_ablation,DGD-Ablation:selected,3407,20260717T093052917408-s3407-4a9f13e76ffa,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3715480268001556,0.607948722402682,0.5113312723643534,0.8938343049231947,0.6505218172246137,0.7652906559570881,0.7135958588823846,0.5126590601609782,0.2102080833646561,21006,20075,2495,13993,,full_dgd
dgd_ablation,DGD-Ablation:selected,3407,20260717T093052917408-s3407-4a9f13e76ffa,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3937256336212158,0.6716461984748736,0.5666299559471366,0.8319220458703885,0.6741143004913369,0.7849027807115015,0.5993503448036269,0.4750802664401004,0.2274169713233922,19551,14953,3950,19115,,full_dgd
dgd_ablation,DGD-Ablation:selected,3407,20260717T093052917408-s3407-4a9f13e76ffa,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.372158795595169,0.6911358543660651,0.586556503843593,0.8246883111356964,0.6855313655094354,0.7960161745607222,0.5739547325817714,0.4504117919726313,0.2414288429502162,19381,13661,4120,20407,,full_dgd
dgd_ablation,DGD-Ablation:selected,4517,20260717T093303293824-s4517-7c7a3b23ea6a,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3194022178649902,0.513244975594504,0.4543416348542689,0.9571507595421472,0.6161895630735517,0.7341562441638299,0.8599940940436693,0.5529857160009963,0.1965023605247264,22494,27015,1007,7053,,full_dgd
dgd_ablation,DGD-Ablation:selected,4517,20260717T093303293824-s4517-7c7a3b23ea6a,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3824021816253662,0.6215150515034132,0.5215400100654253,0.8819199183013489,0.6554608560901947,0.7684879616887891,0.6903020722958537,0.5107125024392601,0.2125812983812986,20726,19014,2775,15054,,full_dgd
dgd_ablation,DGD-Ablation:selected,4517,20260717T093303293824-s4517-7c7a3b23ea6a,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3973535299301147,0.6796713509006583,0.5749185667752443,0.8261350580826348,0.6780045747411431,0.7868095910442598,0.586600427313311,0.474032913854014,0.2288847632940263,19415,14355,4086,19713,,full_dgd
dgd_ablation,DGD-Ablation:selected,4517,20260717T093303293824-s4517-7c7a3b23ea6a,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3867127895355224,0.7015755007035036,0.6002219755826859,0.8054125356367814,0.6878406860963733,0.7973367374537889,0.5477774496690927,0.4498835808042568,0.2421840110103406,18928,12607,4573,21461,,full_dgd
dgd_ablation,DGD-Ablation:selected,7788,20260717T092630959985-s7788-c9f48749bb02,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3208625316619873,0.5111605204189755,0.453417645287564,0.9611080379558316,0.616154727481041,0.7332484576423437,0.865309454741267,0.5603455337547673,0.1956535951980196,22587,27228,914,6840,,full_dgd
dgd_ablation,DGD-Ablation:selected,7788,20260717T092630959985-s7788-c9f48749bb02,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3671309053897857,0.6017648387152807,0.506891674856773,0.8997914982341177,0.6484712809347113,0.7661099374051052,0.7246434713126857,0.5161794548960259,0.2109377245434379,21146,20571,2355,13497,,full_dgd
dgd_ablation,DGD-Ablation:selected,7788,20260717T092630959985-s7788-c9f48749bb02,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3838676810264587,0.6653059806493078,0.5595911816876425,0.8457086932470959,0.6735233318648548,0.7846755002823594,0.6169466205770466,0.4787986632986225,0.2261256739951049,19875,15642,3626,18426,,full_dgd
dgd_ablation,DGD-Ablation:selected,7788,20260717T092630959985-s7788-c9f48749bb02,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3502678275108337,0.6790807552675919,0.5723456932289268,0.8459640015318497,0.6827618180881571,0.7955458405395773,0.6033802914763153,0.4540316527356857,0.2392561357316495,19881,14855,3620,19213,,full_dgd
