phase,base_train_edges,support_edges,graph_edges,query_rows,query_users,query_items,threshold,final_training_seconds,device
Cold,854530,0,854530,57569,3881,955,-0.02548523247241974,2.926631181035191,cuda
Warm A,854530,19100,873630,57569,3881,955,-0.021361850202083588,2.926631181035191,cuda
Warm B,854530,38200,892730,57569,3881,955,-0.01865692064166069,2.926631181035191,cuda
Warm C,854530,57300,911830,57569,3881,955,-0.017931729555130005,2.926631181035191,cuda
