run_name,epoch,loss,bpr_loss,regularizer,sample_size,config_name
cfg01_L2_D64,1,0.6930456757545471,0.6929497122764587,0.9595409631729126,65536,cfg01_L2_D64
cfg01_L2_D64,2,0.6929652094841003,0.6928691864013672,0.9604639410972595,65536,cfg01_L2_D64
cfg01_L2_D64,3,0.6928608417510986,0.6927646398544312,0.9618335962295532,65536,cfg01_L2_D64
cfg01_L2_D64,4,0.6927743554115295,0.692677915096283,0.9642242193222046,65536,cfg01_L2_D64
cfg01_L2_D64,5,0.692588210105896,0.6924915313720703,0.9666523933410645,65536,cfg01_L2_D64
cfg01_L2_D64,6,0.69240802526474,0.6923109889030457,0.9700709581375122,65536,cfg01_L2_D64
cfg01_L2_D64,7,0.6921877861022949,0.6920905113220215,0.972930908203125,65536,cfg01_L2_D64
cfg01_L2_D64,8,0.6919277906417847,0.6918301582336426,0.976568877696991,65536,cfg01_L2_D64
cfg01_L2_D64,9,0.6914825439453125,0.691384494304657,0.9804580211639404,65536,cfg01_L2_D64
cfg01_L2_D64,10,0.6910805106163025,0.6909818649291992,0.9866611361503601,65536,cfg01_L2_D64
cfg01_L2_D64,11,0.6905192136764526,0.6904199123382568,0.9928029179573059,65536,cfg01_L2_D64
cfg01_L2_D64,12,0.6899120807647705,0.6898122429847717,0.9985365867614746,65536,cfg01_L2_D64
cfg02_L3_D64,1,0.6930822134017944,0.6929861307144165,0.9610648155212402,65536,cfg02_L3_D64
cfg02_L3_D64,2,0.6930434703826904,0.692947268486023,0.9619394540786743,65536,cfg02_L3_D64
cfg02_L3_D64,3,0.6929325461387634,0.6928362250328064,0.9634566307067871,65536,cfg02_L3_D64
cfg02_L3_D64,4,0.6928281784057617,0.6927315592765808,0.9664064049720764,65536,cfg02_L3_D64
cfg02_L3_D64,5,0.6926247477531433,0.6925278306007385,0.9692336320877075,65536,cfg02_L3_D64
cfg02_L3_D64,6,0.6923898458480835,0.6922926902770996,0.9715863466262817,65536,cfg02_L3_D64
cfg02_L3_D64,7,0.6920531392097473,0.69195556640625,0.975822925567627,65536,cfg02_L3_D64
cfg02_L3_D64,8,0.6916696429252625,0.6915716528892517,0.9800854921340942,65536,cfg02_L3_D64
cfg02_L3_D64,9,0.6910780072212219,0.6909794211387634,0.9860488176345825,65536,cfg02_L3_D64
cfg02_L3_D64,10,0.6904175281524658,0.6903183460235596,0.9916781187057495,65536,cfg02_L3_D64
cfg02_L3_D64,11,0.689677894115448,0.6895779967308044,0.9990898370742798,65536,cfg02_L3_D64
cfg02_L3_D64,12,0.6887373924255371,0.6886367201805115,1.0069563388824463,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,1,0.6931102871894836,0.6930147409439087,0.9554339647293091,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,2,0.6930298209190369,0.6929341554641724,0.9567448496818542,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,3,0.6929612755775452,0.6928654909133911,0.9578498005867004,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,4,0.6928669810295105,0.6927710175514221,0.9596386551856995,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,5,0.6926696300506592,0.6925734281539917,0.9617509245872498,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,6,0.6924178600311279,0.6923214197158813,0.9646545648574829,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,7,0.6921279430389404,0.6920310258865356,0.9692708849906921,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,8,0.6917003989219666,0.6916030645370483,0.9733033776283264,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,9,0.6911864280700684,0.6910886168479919,0.9779985547065735,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,10,0.6905953288078308,0.6904969811439514,0.9832043647766113,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,11,0.689828097820282,0.6897289752960205,0.9914129972457886,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,12,0.6889135837554932,0.6888137459754944,0.9983105659484863,65536,cfg02_L3_D64
