split,item_id,item_idx,phase,base_graph_mean,diffused_graph_mean,diffused_graph_std,diffused_density_gt_1e_6,diffused_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,-0.009388848207890987,0.1111111119389534,0.1621960699558258,0.8148148148148148,2.980232238769531e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,1,0,Warm A,-0.012929725460708141,0.1111111119389534,0.18441177904605865,0.7283950617283951,4.76837158203125e-07,0.2327355593442917,0.4819628894329071,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,1,0,Warm B,-0.017306769266724586,0.1111111119389534,0.20449569821357727,0.5555555555555556,3.5762786865234375e-07,0.36402758955955505,0.34334269165992737,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,1,0,Warm C,-0.014603748917579651,0.111111119389534,0.1823689043521881,0.7037037037037037,3.5762786865234375e-07,0.36068758368492126,0.5448959469795227,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,5,4,Cold,-0.009014474228024483,0.1111110970377922,0.16006383299827576,0.7777777777777778,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,5,4,Warm A,-0.009721150621771812,0.111111119389534,0.16229093074798584,0.6296296296296297,2.384185791015625e-07,0.24996791779994965,0.49455347657203674,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,5,4,Warm B,-0.007503267377614975,0.1111111119389534,0.18299677968025208,0.4691358024691358,2.384185791015625e-07,0.3801010549068451,0.525739848613739,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,5,4,Warm C,-0.00848311372101307,0.1111111119389534,0.17163878679275513,0.5432098765432098,1.1920928955078125e-07,0.4952148199081421,0.4445359706878662,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,7,6,Cold,-0.00904923491179943,0.1111111119389534,0.16008275747299194,0.7777777777777778,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,7,6,Warm A,-0.009507494047284126,0.1111111119389534,0.1638440638780594,0.8148148148148148,2.384185791015625e-07,0.22968965768814087,0.6827583312988281,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,7,6,Warm B,-0.007102026604115963,0.1111111119389534,0.15803410112857819,0.7037037037037037,2.384185791015625e-07,0.320839524269104,0.6602016687393188,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,7,6,Warm C,-0.005800449755042791,0.1111111119389534,0.15994691848754883,0.6296296296296297,2.384185791015625e-07,0.44249260425567627,0.6342164278030396,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,11,10,Cold,-0.009860990568995476,0.1111111119389534,0.17102180421352386,0.7901234567901234,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,11,10,Warm A,-0.012797758914530277,0.1111110970377922,0.1842760592699051,0.7037037037037037,2.980232238769531e-07,0.22717778384685516,0.5259431600570679,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,11,10,Warm B,-0.008962313644587994,0.1111111119389534,0.17271025478839874,0.8024691358024691,2.384185791015625e-07,0.3155819773674011,0.6790561676025391,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,11,10,Warm C,-0.011691129766404629,0.1111111119389534,0.1828511655330658,0.7160493827160493,4.172325134277344e-07,0.3991422951221466,0.5167198181152344,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,17,16,Cold,-0.010349137708544731,0.1111111119389534,0.17704924941062927,0.7901234567901234,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,17,16,Warm A,-0.014268417842686176,0.1111110970377922,0.19810862839221954,0.7037037037037037,4.172325134277344e-07,0.23029908537864685,0.45925942063331604,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,17,16,Warm B,-0.017168287187814713,0.1111111119389534,0.2218495011329651,0.5555555555555556,2.980232238769531e-07,0.35061976313591003,0.31097742915153503,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,17,16,Warm C,-0.015568627044558525,0.1111111119389534,0.22521552443504333,0.5679012345679012,1.1920928955078125e-07,0.43508777022361755,0.3004676401615143,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,41,36,Cold,-0.009854855015873909,0.1111111119389534,0.17617693543434143,0.6172839506172839,2.980232238769531e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,41,36,Warm A,-0.008729377761483192,0.1111110970377922,0.18341709673404694,0.7654320987654321,2.384185791015625e-07,0.23488201200962067,0.6600602269172668,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,41,36,Warm B,-0.011023102328181267,0.1111111119389534,0.20089159905910492,0.6419753086419753,3.5762786865234375e-07,0.35162755846977234,0.40450477600097656,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,41,36,Warm C,-0.011442851275205612,0.1111111119389534,0.19731788337230682,0.7037037037037037,3.5762786865234375e-07,0.4485146701335907,0.6680983901023865,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,104,76,Cold,-0.00854828953742981,0.1111111119389534,0.15425896644592285,0.7777777777777778,1.7881393432617188e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,104,76,Warm A,-0.008279809728264809,0.1111111119389534,0.16166937351226807,0.8148148148148148,2.384185791015625e-07,0.2227044254541397,0.6659201979637146,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
validation,104,76,Warm B,-0.007822556421160698,0.1111111119389534,0.15257735550403595,0.7777777777777778,2.384185791015625e-07,0.3555660843849182,0.5828744769096375,cfg02_G3_D32,cfg02_G3_D32,2.265157009998802,cuda
