config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G2_D32,0.7902268449675223,0.756067566574654,0.9768906280514784,32,96,2,0.001,0.01,1e-06,4,262144,4096,3
cfg01_G2_D16,0.7900007588846529,0.7540102863989834,1.5504735359572805,16,64,2,0.001,0.01,1e-06,4,262144,4096,3
