phase,base_train_edges,support_edges,graph_edges,query_rows,query_users,query_items,threshold,final_training_seconds,device
Cold,854530,0,854530,57569,3881,955,-0.035077836364507675,4.451649271999486,cpu
Warm A,854530,19100,873630,57569,3881,955,-0.04052507132291794,4.451649271999486,cpu
Warm B,854530,38200,892730,57569,3881,955,-0.03219231963157654,4.451649271999486,cpu
Warm C,854530,57300,911830,57569,3881,955,-0.032041165977716446,4.451649271999486,cpu
