split,item_id,item_idx,phase,base_graph_mean,fused_graph_mean,fused_graph_std,fused_density_gt_1e_6,fused_diag_mean,sparse_branch_density_gt_1e_6,sparse_branch_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,-0.03758952394127846,0.5067282915115356,0.18851642310619354,1.0,1.0,0.48148148148148145,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2532528809970245,cuda
validation,1,0,Warm A,-0.047740329056978226,0.5037274360656738,0.19111835956573486,1.0,1.0,0.3950617283950617,1.1920928955078125e-07,0.22937354445457458,0.4771847724914551,cfg02_G3_D32,cfg02_G3_D32,2.2532528809970245,cuda
validation,1,0,Warm B,-0.02471400983631611,0.5101490616798401,0.18920710682868958,1.0,1.0,0.41975308641975306,2.384185791015625e-07,0.24069246649742126,0.3141365349292755,cfg02_G3_D32,cfg02_G3_D32,2.2532528809970245,cuda
validation,1,0,Warm C,-0.041841331869363785,0.5052247643470764,0.19161732494831085,1.0,1.0,0.37037037037037035,1.1920928955078125e-07,0.3659723699092865,0.5406450629234314,cfg02_G3_D32,cfg02_G3_D32,2.2532528809970245,cuda
validation,5,4,Cold,-0.016811758279800415,0.5110836029052734,0.18542461097240448,1.0,1.0,0.48148148148148145,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2532528809970245,cuda
validation,5,4,Warm A,0.01051314640790224,0.5179677605628967,0.18536338210105896,1.0,1.0,0.38271604938271603,1.7881393432617188e-07,0.2503565549850464,0.4181380867958069,cfg02_G3_D32,cfg02_G3_D32,2.2532528809970245,cuda
validation,5,4,Warm B,0.019434461370110512,0.5196573734283447,0.18654288351535797,1.0,1.0,0.37037037037037035,2.384185791015625e-07,0.3248301148414612,0.533105731010437,cfg02_G3_D32,cfg02_G3_D32,2.2532528809970245,cuda
validation,5,4,Warm C,0.03434737026691437,0.5226739048957825,0.1873447149991989,1.0,1.0,0.30864197530864196,5.960464477539063e-08,0.4478994607925415,0.39188653230667114,cfg02_G3_D32,cfg02_G3_D32,2.2532528809970245,cuda
validation,7,6,Cold,-0.021999554708600044,0.5091263651847839,0.18358035385608673,1.0,1.0,0.5555555555555556,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2532528809970245,cuda
validation,7,6,Warm A,-0.032945457845926285,0.5054949522018433,0.18375274538993835,1.0,1.0,0.5308641975308642,2.384185791015625e-07,0.22309847176074982,0.6601831316947937,cfg02_G3_D32,cfg02_G3_D32,2.2532528809970245,cuda
