config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G2_D32,0.7898991994514771,0.7555421750545313,0.9825615569716319,32,96,2,0.001,0.01,1e-06,4,262144,4096,3
cfg01_G2_D16,0.7893645926944306,0.7532217346038168,1.0449106729938649,16,64,2,0.001,0.01,1e-06,4,262144,4096,3
