split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name
evaluation,Cold,57569,23501,0.29499247670173645,0.5214264621584533,0.458602502248753,0.9545551253138165,0.6195506579946698,0.7365737035404383,0.8496934113845993,0.5476265035134946,0.2210303529104486,22433,26483,1068,7585,cfg02_G2_D32
evaluation,Warm A,57569,23501,0.3452032804489136,0.6664176900762563,0.55879053222055,0.8689417471596953,0.6801785297938246,0.7941538265989116,0.6348034532474075,0.46638079216510064,0.2597369050869854,20421,16124,3080,17944,cfg02_G2_D32
evaluation,Warm B,57569,23501,0.3618064820766449,0.7037815490976046,0.6010214952685342,0.816178034977235,0.6922674366146351,0.8011259149315013,0.5543608539318036,0.43099956324709976,0.281056868782659,19181,12733,4320,21335,cfg02_G2_D32
evaluation,Warm C,57569,23501,0.35993659496307373,0.709044798415814,0.6074623539524371,0.8119228968980043,0.6949664918414918,0.8035807516518312,0.5456235126543799,0.42085228455115475,0.28489661983066283,19081,12330,4420,21738,cfg02_G2_D32
