split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,Cold,57569,23501,0.2766331434249878,0.5012767287950112,0.4484750187903003,0.9648100080847624,0.6123226076506568,0.7356270002664944,0.8782157063697477,0.5625880429881864,0.2230779528900353,22674,27884,827,6184
evaluation,Warm A,57569,23501,0.34066641330718994,0.6899372926401361,0.5837557432933156,0.837964341942896,0.6881333426514782,0.7969682635794698,0.5859924612204485,0.44112096691240177,0.2830645400718427,19693,14042,3808,20026
evaluation,Warm B,57569,23501,0.34782513976097107,0.7073772342753912,0.6042221317380274,0.8208586868643888,0.6960741863318178,0.8033085354757487,0.5545866699091525,0.4237329788038871,0.2862075312827353,19291,12636,4210,21432
evaluation,Warm C,57569,23501,0.35690799355506897,0.7136479702617728,0.6126597726250883,0.8117526913748351,0.6982924284851479,0.8070423648082005,0.5408813771300527,0.41865769491745725,0.28549448845041125,19077,12061,4424,22007
