split_emerg,phase,rows_emerg,positives_emerg,threshold_emerg,accuracy_emerg,precision_emerg,recall_emerg,f1_emerg,roc_auc_emerg,predicted_positive_rate_emerg,score_mean_emerg,score_std_emerg,tp_emerg,fp_emerg,fn_emerg,tn_emerg,config_name,split_emerg_gd_v2,rows_emerg_gd_v2,positives_emerg_gd_v2,threshold_emerg_gd_v2,accuracy_emerg_gd_v2,precision_emerg_gd_v2,recall_emerg_gd_v2,f1_emerg_gd_v2,roc_auc_emerg_gd_v2,predicted_positive_rate_emerg_gd_v2,score_mean_emerg_gd_v2,score_std_emerg_gd_v2,tp_emerg_gd_v2,fp_emerg_gd_v2,fn_emerg_gd_v2,tn_emerg_gd_v2,f1_delta,roc_auc_delta,accuracy_delta,precision_delta,recall_delta
evaluation,Cold,57569,23501,0.2557348608970642,0.489221629696538,0.4429477020602219,0.9752350963788776,0.6091995268662866,0.731100389798526,0.8987823307682954,0.5690495736395036,0.218055727107543,22919,28823,582,5245,cfg02_G2_D32,evaluation,57569,23501,0.24987678229808807,0.48673765394569996,0.44180988856598474,0.9768094974681928,0.60842830638749,0.7310736034620087,0.9025517205440428,0.5690635494415704,0.21821179956405024,22956,29003,545,5065,-0.0007712204787966304,-2.678633651731488e-05,-0.00248397575083803,-0.0011378134942371387,0.0015744010893151694
evaluation,Warm A,57569,23501,0.3490466475486755,0.6618492591498897,0.5551544982225868,0.8638781328454108,0.6759334787168518,0.7896038708257187,0.6352377147423093,0.4683442091074014,0.2543735939934607,20302,16268,3199,17800,cfg02_G2_D32,evaluation,57569,23501,0.32630252838134766,0.6892598447080894,0.5831653823355069,0.8372409684694269,0.6874792543806013,0.7971033774530251,0.5860793135194289,0.4323755991154049,0.2775254885487308,19676,14064,3825,20004,0.01154577566374948,0.007499506627306363,0.02741058555819975,0.028010884112920076,-0.026637164375983957
evaluation,Warm B,57569,23501,0.3667796850204468,0.7099133214056176,0.6122166122166122,0.7894132164588741,0.6896141550814066,0.8005505826179323,0.5263770432003335,0.4205919131319176,0.2772863537640264,18552,11751,4949,22317,cfg02_G2_D32,evaluation,57569,23501,0.35201308131217957,0.7099480623252098,0.6094116890218405,0.8061784604910429,0.6941198021615681,0.804674929658201,0.5400302246000451,0.4188765597159369,0.27991806936734615,18946,12143,4555,21925,0.004505647080161546,0.00412434704026865,3.474091959221326e-05,-0.002804923194771658,0.016765244032168836
evaluation,Warm C,57569,23501,0.3639905750751495,0.7136305998019767,0.6155874114351623,0.7948597932002893,0.6938305538015822,0.8044103530711938,0.5271066025117684,0.4129894655591558,0.282389516969977,18680,11665,4821,22403,cfg02_G2_D32,evaluation,57569,23501,0.36247801780700684,0.7185464399242648,0.620747849106552,0.7982213522828816,0.6983861059920702,0.8101489609581813,0.5249352950372597,0.4153896553886078,0.28089136602017833,18759,11461,4742,22607,0.004555552190487977,0.005738607886987546,0.004915840122288073,0.005160437671389739,0.0033615590825922803
