split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,Cold,57569,23501,0.24987678229808807,0.48673765394569996,0.44180988856598474,0.9768094974681928,0.60842830638749,0.7310736034620087,0.9025517205440428,0.5690635494415704,0.21821179956405024,22956,29003,545,5065
evaluation,Warm A,57569,23501,0.32630252838134766,0.6892598447080894,0.5831653823355069,0.8372409684694269,0.6874792543806013,0.7971033774530251,0.5860793135194289,0.4323755991154049,0.2775254885487308,19676,14064,3825,20004
evaluation,Warm B,57569,23501,0.35201308131217957,0.7099480623252098,0.6094116890218405,0.8061784604910429,0.6941198021615681,0.804674929658201,0.5400302246000451,0.4188765597159369,0.27991806936734615,18946,12143,4555,21925
evaluation,Warm C,57569,23501,0.36247801780700684,0.7185464399242648,0.620747849106552,0.7982213522828816,0.6983861059920702,0.8101489609581813,0.5249352950372597,0.4153896553886078,0.28089136602017833,18759,11461,4742,22607
