run_name,epoch,loss,noise_loss,reconstruction_loss,examples
gd_v2_tuning_diffusion,1,1.3627676426524846,1.326730939703928,0.3603672120772617,1136
gd_v2_tuning_diffusion,2,1.0812277609193828,1.0517098635015354,0.29517917733796883,1136
gd_v2_tuning_diffusion,3,1.019847549183268,0.994329251034159,0.2551829995403827,1136
gd_v2_tuning_diffusion,4,0.984736938711623,0.9602658622701403,0.24471075622968272,1136
gd_v2_tuning_diffusion,5,0.9701923988234828,0.9463751912117004,0.23817209920413057,1136
gd_v2_tuning_diffusion,6,0.9497777148031853,0.9263968862278361,0.23380826266718582,1136
gd_v2_tuning_diffusion,7,0.9095405835500905,0.8875389711957582,0.2200161615307902,1136
gd_v2_tuning_diffusion,8,0.8975572787540059,0.8763732549170373,0.21184032483839652,1136
gd_v2_tuning_diffusion,9,0.8442664675309625,0.8236270647653392,0.2063941004830347,1136
gd_v2_tuning_diffusion,10,0.8032768377116029,0.7852863039768917,0.17990537890246217,1136
gd_v2_tuning_diffusion,11,0.7749310631147572,0.7583726762046277,0.1655839612366448,1136
gd_v2_tuning_diffusion,12,0.7367608555605714,0.7212197360858111,0.15541126505589822,1136
gd_v2_tuning_diffusion,13,0.7192634831012135,0.7048309974267449,0.14432484247315097,1136
gd_v2_tuning_diffusion,14,0.6937666602537665,0.6799363267253822,0.13830336445653943,1136
gd_v2_tuning_diffusion,15,0.6643907452972841,0.65093220959247,0.13458533836922176,1136
gd_v2_tuning_diffusion,16,0.6418255248539885,0.6291482137962127,0.12677304866448255,1136
gd_v2_tuning_diffusion,17,0.6321528335692177,0.6200402278295705,0.12112611154435386,1136
gd_v2_tuning_diffusion,18,0.6147658808130614,0.6030582038449569,0.11707681123639496,1136
gd_v2_tuning_diffusion,19,0.6132013738994867,0.6020724798592043,0.11128889192158067,1136
gd_v2_tuning_diffusion,20,0.5875100627751417,0.5767458081245422,0.10764243348803319,1136
gd_v2_tuning_diffusion,21,0.5948561018621418,0.5841873498030112,0.10668739540056443,1136
gd_v2_tuning_diffusion,22,0.5756136145390255,0.5653299462627357,0.10283659545468612,1136
gd_v2_tuning_diffusion,23,0.5659034436857197,0.5556739786980858,0.1022945825063007,1136
gd_v2_tuning_diffusion,24,0.5758451433248923,0.5660613582167827,0.0978378100504338,1136
