run_name,epoch,loss,noise_loss,reconstruction_loss,examples
gd_v2_tuning_diffusion,1,1.3289867438061136,1.2931190242230053,0.35867718995456965,1136
gd_v2_tuning_diffusion,2,1.0873799693416542,1.0591531488257395,0.2822682870105958,1136
gd_v2_tuning_diffusion,3,1.0188755250312913,0.9925179884467327,0.2635752302660069,1136
gd_v2_tuning_diffusion,4,0.9952731820898997,0.9714842388327692,0.23788953310167285,1136
gd_v2_tuning_diffusion,5,0.9666509947306673,0.9428095834355958,0.2384141098025819,1136
gd_v2_tuning_diffusion,6,0.930482739294079,0.9069117206922719,0.2357102439437114,1136
gd_v2_tuning_diffusion,7,0.8972034513110846,0.8760865372671208,0.21116931295730698,1136
gd_v2_tuning_diffusion,8,0.8600639709284608,0.8406355397802003,0.19428436814899175,1136
gd_v2_tuning_diffusion,9,0.8197088619353066,0.8010390635947107,0.18669782872770874,1136
gd_v2_tuning_diffusion,10,0.7835298936131975,0.7653950889345625,0.18134792128079374,1136
gd_v2_tuning_diffusion,11,0.7630034785875133,0.7470369926640685,0.1596648311111289,1136
gd_v2_tuning_diffusion,12,0.7169009833268716,0.7016702311139711,0.1523075198203745,1136
gd_v2_tuning_diffusion,13,0.6849542008319371,0.6706351083768926,0.1431909438589929,1136
gd_v2_tuning_diffusion,14,0.6777225707618284,0.6648590094606641,0.12863559485741063,1136
gd_v2_tuning_diffusion,15,0.6617702102996934,0.649097912748095,0.12672305652793026,1136
gd_v2_tuning_diffusion,16,0.6349177671150422,0.6228601571539758,0.12057611734514505,1136
gd_v2_tuning_diffusion,17,0.615827566301319,0.6046417145661904,0.1118584734873033,1136
gd_v2_tuning_diffusion,18,0.6074042496546893,0.5968057924592999,0.10598455348484953,1136
gd_v2_tuning_diffusion,19,0.5951490368641598,0.583776872762492,0.11372166788074332,1136
gd_v2_tuning_diffusion,20,0.5858455795637318,0.5758982300758362,0.09947361188455367,1136
gd_v2_tuning_diffusion,21,0.5895446261889498,0.579596952653267,0.09947676557890127,1136
gd_v2_tuning_diffusion,22,0.5605252309584282,0.5499902913268183,0.10534936672365161,1136
