split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name
evaluation,Cold,57569,23501,0.23201340436935425,0.4910455279751255,0.44379179994184353,0.9741287604782776,0.6097807847002105,0.7424478868113487,0.8960551685803123,0.5900983178483636,0.2436928893824992,22893,28692,608,5376,cfg02_G3_D32
evaluation,Warm A,57569,23501,0.3406558334827423,0.6473622956799666,0.5414830178895514,0.8886855878473257,0.672939053664352,0.7885675620977001,0.6699786343344508,0.4896653639901887,0.26534637601103633,20885,17685,2616,16383,cfg02_G3_D32
evaluation,Warm B,57569,23501,0.3927047848701477,0.7116677378450208,0.6135645649598526,0.7933704948725586,0.6919779546846294,0.8019635749838588,0.5278535322829996,0.4368614163318819,0.281169064829153,18645,11743,4856,22325,cfg02_G3_D32
evaluation,Warm C,57569,23501,0.3918566107749939,0.7191196650975351,0.6266892475719766,0.7715416365261053,0.6916123126215814,0.8038796554923903,0.5025795132797165,0.4186997392306164,0.28475008833353554,18132,10801,5369,23267,cfg02_G3_D32
