variant,graph_generator_grad_norm,diffusion_grad_norm,requires_diffusion_grad,row_sum_error,sparse_fraction,status
emerg_exact_topk,4.007310326414881e-05,0.0,False,1.1920928955078125e-07,0.5555555820465088,PASS
mix_topk,3.977525420850725e-05,2.2104490682295364e-08,True,1.1920928955078125e-07,0.5555555820465088,PASS
exact_sparsemax,0.0015129036037251353,0.0,False,2.384185791015625e-07,0.0,PASS
full_dgd,0.0015230098797474056,4.131867115120258e-08,True,2.384185791015625e-07,0.0,PASS
