config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,sparsemax_scale,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G3_D32,0.789254249958491,0.7508613204624259,1.866559871006757,32,96,3,0.001,0.01,1e-06,5.0,4,262144,4096,3
cfg01_G2_D16,0.7888248757052598,0.7493070395700623,2.0205095629789867,16,64,2,0.001,0.01,1e-06,5.0,4,262144,4096,3
