split,item_id,item_idx,phase,graph_mean,graph_std,graph_density_gt_0_5,graph_diag_mean,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,0.563790500164032,0.17172814905643463,0.5802469135802469,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,1,0,Warm A,0.5662850141525269,0.17090089619159698,0.5802469135802469,1.0,0.22355765104293823,0.41547831892967224,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,1,0,Warm B,0.5659488439559937,0.17128364741802216,0.5802469135802469,1.0,0.4032318592071533,0.3353341519832611,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,1,0,Warm C,0.5659781694412231,0.17187580466270447,0.5308641975308642,1.0,0.29156365990638733,0.529220461845398,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,5,4,Cold,0.5699067115783691,0.17509311437606812,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,5,4,Warm A,0.5776143670082092,0.17471997439861298,0.6296296296296297,1.0,0.21439118683338165,0.43612465262413025,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,5,4,Warm B,0.5830990076065063,0.17436236143112183,0.6296296296296297,1.0,0.29510337114334106,0.48741602897644043,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,5,4,Warm C,0.5924362540245056,0.173771932721138,0.6790123456790124,1.0,0.4838792085647583,0.34601759910583496,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,7,6,Cold,0.5672498345375061,0.17144189774990082,0.5802469135802469,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,7,6,Warm A,0.5632115006446838,0.1726132333278656,0.5555555555555556,1.0,0.19125895202159882,0.6547953486442566,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,7,6,Warm B,0.5636541843414307,0.1741098165512085,0.5555555555555556,1.0,0.3406599164009094,0.604388952255249,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,7,6,Warm C,0.5670127272605896,0.17391501367092133,0.5555555555555556,1.0,0.46880462765693665,0.6332725882530212,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,11,10,Cold,0.567682147026062,0.1728210151195526,0.5802469135802469,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,11,10,Warm A,0.5676838159561157,0.17353595793247223,0.5802469135802469,1.0,0.21257437765598297,0.46499204635620117,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,11,10,Warm B,0.5662304759025574,0.1752350926399231,0.5555555555555556,1.0,0.22404173016548157,0.6410011053085327,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,11,10,Warm C,0.5630621314048767,0.17409713566303253,0.5802469135802469,1.0,0.24452553689479828,0.5423963665962219,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,17,16,Cold,0.5652722120285034,0.1718468815088272,0.5555555555555556,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,17,16,Warm A,0.5645321607589722,0.17143553495407104,0.5802469135802469,1.0,0.2223193347454071,0.37713587284088135,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,17,16,Warm B,0.5694134831428528,0.17019979655742645,0.6296296296296297,1.0,0.4211939573287964,0.24014902114868164,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,17,16,Warm C,0.5675015449523926,0.1721220761537552,0.5802469135802469,1.0,0.3681395649909973,0.296580046415329,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,41,36,Cold,0.5717179775238037,0.17256200313568115,0.5802469135802469,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,41,36,Warm A,0.5650330781936646,0.17254242300987244,0.5802469135802469,1.0,0.21056324243545532,0.5444318652153015,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,41,36,Warm B,0.5665074586868286,0.17175762355327606,0.6296296296296297,1.0,0.35832279920578003,0.35400983691215515,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,41,36,Warm C,0.5610530376434326,0.1733977198600769,0.5555555555555556,1.0,0.37467119097709656,0.5535482168197632,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,104,76,Cold,0.5691949129104614,0.1736486554145813,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
validation,104,76,Warm A,0.5693494081497192,0.17205870151519775,0.5802469135802469,1.0,0.21280047297477722,0.5883243083953857,cfg02_G2_D32,cfg02_G2_D32,1.2719790640403517,cuda
