config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G2_D32,0.7899304792164994,0.7554894021098421,1.4212675180169754,32,96,2,0.001,0.01,1e-06,4,262144,4096,3
cfg01_G2_D16,0.7893561271628553,0.7532924435727743,1.8318955909926444,16,64,2,0.001,0.01,1e-06,4,262144,4096,3
