config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G2_D32,0.790435209927197,0.7556314755642253,0.991038597014267,32,96,2,0.001,0.01,1e-06,4,262144,4096,3
cfg01_G2_D16,0.7895800577199746,0.7538746464900776,1.025711295020301,16,64,2,0.001,0.01,1e-06,4,262144,4096,3
