config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G2_D32,0.7899261583979724,0.7559233643893641,0.9821654349798337,32,96,2,0.001,0.01,1e-06,4,262144,4096,3
cfg01_G2_D16,0.789596759732885,0.753713326226646,1.026641920034308,16,64,2,0.001,0.01,1e-06,4,262144,4096,3
