split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name
evaluation,Cold,57569,23501,0.277385950088501,0.5016067675311365,0.4486375239942216,0.9646823539423854,0.612448334548991,0.7356233600176005,0.8777814448748459,0.5625731075378402,0.2229844435147957,22671,27862,830,6206,cfg02_G2_D32
evaluation,Warm A,57569,23501,0.34174367785453796,0.6585662422484323,0.5514518934832062,0.8767712012254798,0.6770610850064075,0.7914269872837519,0.6490472302801855,0.47564660203805,0.2602702728712582,20605,16760,2896,17308,cfg02_G2_D32
evaluation,Warm B,57569,23501,0.35893920063972473,0.7025482464520836,0.5984256829757678,0.8249010680396579,0.6936453413482181,0.8010733427180187,0.5627160450937136,0.4341649237651003,0.2821199491992712,19386,13009,4115,21059,cfg02_G2_D32
evaluation,Warm C,57569,23501,0.3612287938594818,0.7098438395664334,0.6085748059167438,0.8105612527126506,0.695193606072771,0.8035592336528794,0.5437127620768122,0.42016937936425225,0.28472371970785576,19049,12252,4452,21816,cfg02_G2_D32
