phase,base_train_edges,support_edges,graph_edges,query_rows,query_users,query_items,threshold,final_training_seconds,device
Cold,854530,0,854530,57569,3881,955,-0.041050806641578674,2.8401180770015344,cuda
Warm A,854530,19100,873630,57569,3881,955,-0.03759614750742912,2.8401180770015344,cuda
Warm B,854530,38200,892730,57569,3881,955,-0.037102483212947845,2.8401180770015344,cuda
Warm C,854530,57300,911830,57569,3881,955,-0.03751348704099655,2.8401180770015344,cuda
