config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,n_layers,learning_rate,weight_decay,epochs,sample_size
cfg01_L2_D64,0.7593794064732424,0.49658025527344707,4.056685268005822,64,2,0.003,0.0001,12,65536
cfg02_L3_D64,0.7593747811077186,0.4964640872289048,2.614242743991781,64,3,0.003,0.0001,12,65536
