config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,n_layers,learning_rate,weight_decay,epochs,sample_size
cfg02_L3_D64,0.7593759104983009,0.5110258980144186,2.491310607001651,64,3,0.003,0.0001,12,65536
cfg01_L2_D64,0.759374010216595,0.5060786814331136,2.473639241012279,64,2,0.003,0.0001,12,65536
