phase,base_train_edges,support_edges,graph_edges,query_rows,query_users,query_items,threshold,final_training_seconds,device
Cold,854530,0,854530,57569,3881,955,-0.028045127168297768,2.7448394270031713,cuda
Warm A,854530,19100,873630,57569,3881,955,-0.020508205518126488,2.7448394270031713,cuda
Warm B,854530,38200,892730,57569,3881,955,-0.023310460150241852,2.7448394270031713,cuda
Warm C,854530,57300,911830,57569,3881,955,-0.016909223049879074,2.7448394270031713,cuda
