split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name
evaluation,Cold,57569,23501,-0.028045127168297768,0.4082231756674599,0.4082231756674599,1.0,0.5797705686443814,0.49297017291093564,1.0,0.0002467714158591835,0.006245741342248617,23501,34068,0,0,cfg02_L3_D64
evaluation,Warm A,57569,23501,-0.020508205518126488,0.4082231756674599,0.4082231756674599,1.0,0.5797705686443814,0.4868164480016806,1.0,0.004296911536758771,0.006421061683886577,23501,34068,0,0,cfg02_L3_D64
evaluation,Warm B,57569,23501,-0.023310460150241852,0.4082231756674599,0.4082231756674599,1.0,0.5797705686443814,0.484139126438288,1.0,0.005919578037950952,0.006555286213316272,23501,34068,0,0,cfg02_L3_D64
evaluation,Warm C,57569,23501,-0.016909223049879074,0.4082231756674599,0.4082199871454132,0.9999574486192077,0.5797602013124784,0.48305971489016103,0.9999652590804079,0.007073991074628994,0.006673700935913137,23500,34067,1,1,cfg02_L3_D64
