variant,mean_validation_f1,mean_validation_auc,mean_evaluation_f1,mean_evaluation_auc
full_dgd,0.7866172055814582,0.7447046553548458,0.6593739200003157,0.7716976335876669
emerg_exact_topk,0.7865565412736161,0.7444454179590797,0.6588831398281068,0.7717674512382884
exact_sparsemax,0.7865556532720492,0.7445116725202634,0.6593402439828902,0.7717036691315742
mix_topk,0.7864925357153087,0.7444741633838117,0.659411504474241,0.7716143105137278
