split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name
evaluation,Cold,57569,23501,0.2471005767583847,0.4992443849988709,0.4476194222108596,0.9685119782136931,0.61226630800269,0.7410082423778209,0.8832705101704043,0.5553698164319114,0.2267568209756213,22761,28088,740,5980,cfg02_G2_D32
evaluation,Warm A,57569,23501,0.3297477066516876,0.6576108669596484,0.5503694646749242,0.8810688906855028,0.6775191008294751,0.7940894668236047,0.6535114384477757,0.46214974422270555,0.26335808743259037,20706,16916,2795,17152,cfg02_G2_D32
evaluation,Warm B,57569,23501,0.3655441999435425,0.7037815490976046,0.6023817084788822,0.8071571422492659,0.6898947100434617,0.8015183024120388,0.5469957789782696,0.42262130810408816,0.2812762760655579,18969,12521,4532,21547,cfg02_G2_D32
evaluation,Warm C,57569,23501,0.38057029247283936,0.7143775295732078,0.61870963401507,0.7826475469128973,0.6910894437242856,0.801975545526113,0.5163890288175929,0.41174345612742375,0.2833380401624821,18393,11335,5108,22733,cfg02_G2_D32
