config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G2_D32,0.7904263187129562,0.7560709432842068,1.00046328100143,32,96,2,0.001,0.01,1e-06,4,262144,4096,3
cfg01_G2_D16,0.7900548542818641,0.754087558969943,1.4773426789906807,16,64,2,0.001,0.01,1e-06,4,262144,4096,3
