config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G2_D32,0.7898875414823765,0.7553700277038509,0.9854260139982216,32,96,2,0.001,0.01,1e-06,4,262144,4096,3
cfg01_G2_D16,0.7892521112966934,0.7531207609062738,1.0246855330187827,16,64,2,0.001,0.01,1e-06,4,262144,4096,3
