config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G2_D32,0.7897137072677072,0.756286113897273,0.9536647440399975,32,96,2,0.001,0.01,1e-06,4,262144,4096,3
cfg01_G2_D16,0.7895501459602983,0.7538965009493674,0.9862456399714574,16,64,2,0.001,0.01,1e-06,4,262144,4096,3
