config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,sparsemax_scale,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G3_D32,0.7891945458112186,0.7521295726533163,1.8614347589900717,32,96,3,0.001,0.01,1e-06,5.0,4,262144,4096,3
cfg01_G2_D16,0.7891886025597187,0.7508145476241838,1.5332690789946355,16,64,2,0.001,0.01,1e-06,5.0,4,262144,4096,3
