split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name
evaluation,Cold,57569,23501,0.246535524725914,0.4854348694609946,0.4412137507201844,0.9775754223224543,0.6080110095142316,0.7311609550718121,0.9044798415814067,0.5692957527743964,0.2185916961865194,22974,29096,527,4972,cfg02_G2_D32
evaluation,Warm A,57569,23501,0.33650413155555725,0.6553179662665671,0.548885443951462,0.8738351559508106,0.6742510054994664,0.7893569915063657,0.649898382810193,0.46825640606645474,0.25476440175061604,20536,16878,2965,17190,cfg02_G2_D32
evaluation,Warm B,57569,23501,0.3653467893600464,0.7096006531292883,0.6117720726361928,0.7898812816475894,0.6895104375603595,0.8004288931379651,0.5270718615921763,0.4201514787476974,0.2775293217484495,18563,11780,4938,22288,cfg02_G2_D32
evaluation,Warm C,57569,23501,0.3576754927635193,0.7126578540533968,0.6132096957865626,0.8019658737926045,0.694999631241242,0.804321551357096,0.5338810818322361,0.41275864977402826,0.2825620920263872,18847,11888,4654,22180,cfg02_G2_D32
