split,item_id,item_idx,phase,base_graph_mean,diffused_graph_mean,diffused_graph_std,diffused_density_gt_1e_6,diffused_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,0.0003990141849499196,0.1111110970377922,0.06643634289503098,0.9629629629629629,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,1,0,Warm A,-0.0012709546135738492,0.1111111119389534,0.07652036845684052,0.9629629629629629,1.1920928955078125e-07,0.24065661430358887,0.4796958565711975,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,1,0,Warm B,-0.0033755747135728598,0.111111119389534,0.09116753190755844,0.9012345679012346,1.7881393432617188e-07,0.4200613498687744,0.3532736599445343,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,1,0,Warm C,-0.00228256918489933,0.111111119389534,0.07830168306827545,0.9259259259259259,2.384185791015625e-07,0.3535749316215515,0.5327774286270142,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,5,4,Cold,0.00195720954798162,0.1111111119389534,0.06988851726055145,0.9753086419753086,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,5,4,Warm A,-0.000312807853333652,0.1111111119389534,0.09482656419277191,0.8518518518518519,2.384185791015625e-07,0.23581767082214355,0.5502749681472778,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,5,4,Warm B,-0.001477482495829463,0.1111111119389534,0.11987694352865219,0.7654320987654321,1.1920928955078125e-07,0.41999489068984985,0.5262188911437988,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,5,4,Warm C,-0.003125201677903533,0.1111111119389534,0.1192648783326149,0.7777777777777778,4.76837158203125e-07,0.5548409223556519,0.4501756727695465,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,7,6,Cold,0.0014977448154240847,0.1111111119389534,0.06954982876777649,0.9753086419753086,1.7881393432617188e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,7,6,Warm A,0.00035320434835739434,0.1111111119389534,0.07258476316928864,0.9753086419753086,1.7881393432617188e-07,0.23968760669231415,0.6911078691482544,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,7,6,Warm B,0.002876563463360071,0.1111111119389534,0.08395064622163773,0.9135802469135802,2.384185791015625e-07,0.2721404731273651,0.688989520072937,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,7,6,Warm C,0.0015198924811556935,0.1111111119389534,0.09801032394170761,0.8148148148148148,2.384185791015625e-07,0.3620193898677826,0.6549773216247559,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,11,10,Cold,0.0016088724369183183,0.1111111119389534,0.07046980410814285,0.9629629629629629,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,11,10,Warm A,-0.0021069361828267574,0.1111111119389534,0.07623036205768585,0.9876543209876543,2.384185791015625e-07,0.2302270382642746,0.5166175365447998,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,11,10,Warm B,0.0004069782153237611,0.1111111119389534,0.07179797440767288,0.9753086419753086,1.1920928955078125e-07,0.3300989270210266,0.6445745825767517,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,11,10,Warm C,-0.0028240755200386047,0.1111111119389534,0.07417138665914536,0.9753086419753086,1.1920928955078125e-07,0.38490787148475647,0.5524415969848633,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,17,16,Cold,0.0010581633541733027,0.1111111119389534,0.0715436190366745,0.9506172839506173,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,17,16,Warm A,-0.001796017400920391,0.1111110970377922,0.08414479345083237,0.9382716049382716,2.384185791015625e-07,0.23627495765686035,0.5082041025161743,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,17,16,Warm B,-0.00556614063680172,0.1111111119389534,0.09588828682899475,0.8641975308641975,1.7881393432617188e-07,0.42107653617858887,0.3341101109981537,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,17,16,Warm C,-0.005321315955370665,0.1111111119389534,0.09675439447164536,0.8765432098765432,1.1920928955078125e-07,0.4032793343067169,0.33234792947769165,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,41,36,Cold,0.0034643157850950956,0.1111111119389534,0.08498210459947586,0.8888888888888888,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,41,36,Warm A,0.0006642080843448639,0.1111110970377922,0.08336681872606277,0.8765432098765432,2.384185791015625e-07,0.23786737024784088,0.6376592516899109,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,41,36,Warm B,-0.001987979281693697,0.1111111119389534,0.09152775257825851,0.8518518518518519,1.7881393432617188e-07,0.4119444191455841,0.41806021332740784,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,41,36,Warm C,-0.0023591096978634596,0.1111111119389534,0.08975864946842194,0.8765432098765432,1.7881393432617188e-07,0.4640815854072571,0.6496416330337524,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,104,76,Cold,0.002220811787992716,0.1111111119389534,0.07149677723646164,0.9629629629629629,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,104,76,Warm A,0.00016073128790594637,0.1111111119389534,0.0737915188074112,0.9382716049382716,1.1920928955078125e-07,0.2425108253955841,0.6443714499473572,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,104,76,Warm B,0.0034584144596010447,0.1111111119389534,0.07570943981409073,0.9135802469135802,1.1920928955078125e-07,0.2689283788204193,0.5870689749717712,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,104,76,Warm C,0.0025008702650666237,0.1111111119389534,0.07592405378818512,0.9259259259259259,1.1920928955078125e-07,0.29339534044265747,0.6208077669143677,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,107,78,Cold,0.000939197198022157,0.1111111119389534,0.06424582004547119,0.9753086419753086,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,107,78,Warm A,0.0020070946775376797,0.111111119389534,0.07421580702066422,0.9506172839506173,2.384185791015625e-07,0.22676149010658264,0.720829963684082,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,107,78,Warm B,0.0017388203414157033,0.1111111119389534,0.07935776561498642,0.9382716049382716,2.384185791015625e-07,0.261233925819397,0.5601763725280762,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,107,78,Warm C,0.0025871270336210728,0.1111111119389534,0.10567007213830948,0.8395061728395061,2.384185791015625e-07,0.308003693819046,0.5429717898368835,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,110,79,Cold,0.0019990026485174894,0.111111119389534,0.077553890645504,0.9259259259259259,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,110,79,Warm A,-0.001634520129300654,0.111111119389534,0.07965461164712906,0.9259259259259259,2.384185791015625e-07,0.24714261293411255,0.43087276816368103,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,110,79,Warm B,-0.003062124829739332,0.111111119389534,0.07851909101009369,0.9382716049382716,2.384185791015625e-07,0.3421522378921509,0.4489593207836151,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,110,79,Warm C,-0.0029407308902591467,0.1111110970377922,0.0783039852976799,0.9012345679012346,1.1920928955078125e-07,0.42420247197151184,0.45890378952026367,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,111,80,Cold,-0.00035529950400814414,0.1111111119389534,0.09710649400949478,0.9012345679012346,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,111,80,Warm A,-6.565258809132501e-05,0.1111111119389534,0.10487870872020721,0.8765432098765432,1.1920928955078125e-07,0.24751226603984833,0.700201690196991,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,111,80,Warm B,-0.0027130451053380966,0.1111111119389534,0.11461364477872849,0.7777777777777778,1.1920928955078125e-07,0.40298184752464294,0.29907771944999695,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,111,80,Warm C,-0.004197560716420412,0.111111119389534,0.12150780111551285,0.7283950617283951,2.384185791015625e-07,0.47428053617477417,0.29607734084129333,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,158,103,Cold,0.0008949662442319095,0.1111111119389534,0.07646658271551132,0.9506172839506173,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,158,103,Warm A,0.001081499271094799,0.1111110970377922,0.1008443534374237,0.8765432098765432,1.1920928955078125e-07,0.21886499226093292,0.43598562479019165,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,158,103,Warm B,4.7876786993583664e-05,0.1111111119389534,0.12623274326324463,0.7407407407407407,2.384185791015625e-07,0.3307372033596039,0.5415226817131042,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
validation,158,103,Warm C,3.223222302040085e-05,0.1111111119389534,0.10670395940542221,0.8765432098765432,1.7881393432617188e-07,0.2689243257045746,0.5005340576171875,cfg02_G3_D32,cfg02_G3_D32,1.867772352998145,cuda
