config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,sparsemax_scale,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G3_D32,0.7892633340263725,0.7508602108197056,1.906144609034527,32,96,3,0.001,0.01,1e-06,5.0,4,262144,4096,3
cfg01_G2_D16,0.7888289372133401,0.7493291702274496,1.9642700009862892,16,64,2,0.001,0.01,1e-06,5.0,4,262144,4096,3
