split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name
evaluation,Cold,57569,23501,0.3045884668827057,0.500495058104188,0.44817452020749915,0.9668524743627931,0.6124528301886792,0.7329295795831151,0.8806649412009936,0.5639934595304459,0.20062114277161855,22722,27977,779,6091,cfg02_G3_D32
evaluation,Warm A,57569,23501,0.3595522940158844,0.6569681599471938,0.5513870252211299,0.8567720522530956,0.6709653770535505,0.7821239150016159,0.6343170803731175,0.47649897956407367,0.23944950327656786,20135,16382,3366,17686,cfg02_G3_D32
evaluation,Warm B,57569,23501,0.3629944324493408,0.7043200333512828,0.6041539401343922,0.7995829964682354,0.688264596000293,0.7962576125541851,0.5402734110371902,0.4299577766979481,0.2646225579091067,18791,12312,4710,21756,cfg02_G3_D32
evaluation,Warm C,57569,23501,0.36816614866256714,0.714690197849537,0.6195108769085259,0.7803923237309051,0.6907070897278975,0.8014927444799775,0.5142350918028801,0.4148200329530382,0.2734724475792233,18340,11264,5161,22804,cfg02_G3_D32
