split,item_id,item_idx,phase,base_graph_mean,diffused_graph_mean,diffused_graph_std,diffused_density_gt_1e_6,diffused_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,-0.0015845331363379955,0.1111111119389534,0.06165976822376251,0.9876543209876543,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.9199116100207902,cuda
validation,1,0,Warm A,-0.0019760900177061558,0.1111111119389534,0.0638672336935997,0.9876543209876543,2.384185791015625e-07,0.24356576800346375,0.4668400287628174,cfg02_G3_D32,cfg02_G3_D32,1.9199116100207902,cuda
validation,1,0,Warm B,-0.004266086034476757,0.1111110970377922,0.07179196923971176,0.9629629629629629,1.1920928955078125e-07,0.39771848917007446,0.3664989769458771,cfg02_G3_D32,cfg02_G3_D32,1.9199116100207902,cuda
validation,1,0,Warm C,-0.0014799532946199179,0.1111111119389534,0.0642654225230217,0.9629629629629629,2.384185791015625e-07,0.2856806516647339,0.5305776000022888,cfg02_G3_D32,cfg02_G3_D32,1.9199116100207902,cuda
validation,5,4,Cold,-0.0008397024939768016,0.1111111119389534,0.06797465682029724,0.9753086419753086,3.5762786865234375e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.9199116100207902,cuda
validation,5,4,Warm A,0.0011545835295692086,0.1111111119389534,0.09569388628005981,0.9012345679012346,2.384185791015625e-07,0.24851123988628387,0.5177114009857178,cfg02_G3_D32,cfg02_G3_D32,1.9199116100207902,cuda
validation,5,4,Warm B,0.0037497857119888067,0.1111110970377922,0.12092031538486481,0.7777777777777778,1.1920928955078125e-07,0.3667373061180115,0.5992273092269897,cfg02_G3_D32,cfg02_G3_D32,1.9199116100207902,cuda
validation,5,4,Warm C,0.0017163398442789912,0.1111111119389534,0.10860154032707214,0.8271604938271605,1.1920928955078125e-07,0.429551362991333,0.49639907479286194,cfg02_G3_D32,cfg02_G3_D32,1.9199116100207902,cuda
validation,7,6,Cold,-0.0010763235623016953,0.111111119389534,0.06777797639369965,0.9753086419753086,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.9199116100207902,cuda
validation,7,6,Warm A,-0.003833985887467861,0.111111119389534,0.07023834437131882,0.9629629629629629,1.1920928955078125e-07,0.2470834106206894,0.6918757557868958,cfg02_G3_D32,cfg02_G3_D32,1.9199116100207902,cuda
