config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,sparsemax_scale,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G3_D32,0.7895865400203502,0.7514446096055076,1.8730876779882237,32,96,3,0.001,0.01,1e-06,5.0,4,262144,4096,3
cfg01_G2_D16,0.7885528810644395,0.7486280787493099,1.5301764030009508,16,64,2,0.001,0.01,1e-06,5.0,4,262144,4096,3
