phase,base_train_edges,support_edges,graph_edges,query_rows,query_users,query_items,threshold,final_training_seconds,device
Cold,854530,0,854530,57569,3881,955,-0.04105081036686897,4.6077597009716555,cpu
Warm A,854530,19100,873630,57569,3881,955,-0.037596143782138824,4.6077597009716555,cpu
Warm B,854530,38200,892730,57569,3881,955,-0.037102486938238144,4.6077597009716555,cpu
Warm C,854530,57300,911830,57569,3881,955,-0.03751348704099655,4.6077597009716555,cpu
