run_name,epoch,loss,bpr_loss,regularizer,sample_size,config_name
cfg01_L2_D64,1,0.6929683685302734,0.6928728818893433,0.9547200202941895,65536,cfg01_L2_D64
cfg01_L2_D64,2,0.6929357647895813,0.6928400993347168,0.9568958282470703,65536,cfg01_L2_D64
cfg01_L2_D64,3,0.6928579807281494,0.6927621364593506,0.9587172865867615,65536,cfg01_L2_D64
cfg01_L2_D64,4,0.692673921585083,0.6925778388977051,0.9610353708267212,65536,cfg01_L2_D64
cfg01_L2_D64,5,0.6925786733627319,0.6924822330474854,0.9641488790512085,65536,cfg01_L2_D64
cfg01_L2_D64,6,0.6923114061355591,0.6922147274017334,0.9666467308998108,65536,cfg01_L2_D64
cfg01_L2_D64,7,0.6920565962791443,0.6919595003128052,0.9708356857299805,65536,cfg01_L2_D64
cfg01_L2_D64,8,0.6917519569396973,0.6916545033454895,0.9746540188789368,65536,cfg01_L2_D64
cfg01_L2_D64,9,0.6913444995880127,0.6912466287612915,0.9788165092468262,65536,cfg01_L2_D64
cfg01_L2_D64,10,0.6908400654792786,0.6907415390014648,0.9853742122650146,65536,cfg01_L2_D64
cfg01_L2_D64,11,0.6902589201927185,0.690159797668457,0.9914042949676514,65536,cfg01_L2_D64
cfg01_L2_D64,12,0.6896214485168457,0.6895217895507812,0.9968011975288391,65536,cfg01_L2_D64
cfg02_L3_D64,1,0.6931058764457703,0.693010687828064,0.9519813060760498,65536,cfg02_L3_D64
cfg02_L3_D64,2,0.6930211782455444,0.6929258108139038,0.9534029960632324,65536,cfg02_L3_D64
cfg02_L3_D64,3,0.6929429173469543,0.6928473711013794,0.9552934169769287,65536,cfg02_L3_D64
cfg02_L3_D64,4,0.6928175091743469,0.6927218437194824,0.9568972587585449,65536,cfg02_L3_D64
cfg02_L3_D64,5,0.6926206350326538,0.6925246715545654,0.9597855806350708,65536,cfg02_L3_D64
cfg02_L3_D64,6,0.6924335360527039,0.6923372745513916,0.9625389575958252,65536,cfg02_L3_D64
cfg02_L3_D64,7,0.6920663714408875,0.6919696927070618,0.9669386148452759,65536,cfg02_L3_D64
cfg02_L3_D64,8,0.6916386485099792,0.6915415525436401,0.97072833776474,65536,cfg02_L3_D64
cfg02_L3_D64,9,0.6911131143569946,0.6910155415534973,0.9757862091064453,65536,cfg02_L3_D64
cfg02_L3_D64,10,0.6904900670051575,0.6903917789459229,0.9829851984977722,65536,cfg02_L3_D64
cfg02_L3_D64,11,0.6896584630012512,0.6895595788955688,0.988979697227478,65536,cfg02_L3_D64
cfg02_L3_D64,12,0.6887691020965576,0.6886693239212036,0.997774600982666,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,1,0.6930975317955017,0.6930015683174133,0.9595538973808289,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,2,0.6930354237556458,0.6929394602775574,0.959586501121521,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,3,0.6929584741592407,0.6928622722625732,0.9620394110679626,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,4,0.6928582787513733,0.6927618980407715,0.9639307260513306,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,5,0.692679226398468,0.6925825476646423,0.9669157862663269,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,6,0.6923914551734924,0.6922945380210876,0.96925950050354,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,7,0.6920996904373169,0.6920024156570435,0.9726475477218628,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,8,0.6916965246200562,0.6915988326072693,0.9766525030136108,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,9,0.6912100315093994,0.6911118030548096,0.9820855855941772,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,10,0.6905559301376343,0.6904572248458862,0.9871081113815308,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,11,0.6899288892745972,0.6898293495178223,0.9951308965682983,65536,cfg02_L3_D64
final_refit_cfg02_L3_D64,12,0.6890043020248413,0.6889041066169739,1.0016733407974243,65536,cfg02_L3_D64
