config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,n_layers,learning_rate,weight_decay,epochs,sample_size
cfg02_L3_D64,0.7593759104983009,0.5110258958261301,2.503422388981562,64,3,0.003,0.0001,12,65536
cfg01_L2_D64,0.759374010216595,0.5060786820647846,2.610833219019696,64,2,0.003,0.0001,12,65536
