phase,model_label,f1_mean,roc_auc_mean
Cold,DGD-Ablation:selected,0.6157066934984842,0.7323608829018324
Warm A,EmerG,0.6784999141624655,0.792929784945861
Warm B,EmerG,0.690820599300069,0.8010034730459985
Warm C,EmerG,0.6939257255696952,0.8036955810518446
